"INAGH MOUNT CALLAN",,,,,,,,,,,,
Grid ref,IR1654877375,Long,-9.239333,Lat,52.841111,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.21,5.24,6.69,6.19,7.95,6.29,9.25,3.93,7.39,6.40,,
February,3.72,1.11,3.25,6.40,7.67,3.72,6.32,5.08,6.11,3.46,,
March,1.76,5.09,5.56,9.87,4.45,7.78,5.09,3.97,6.54,3.94,,
April,4.39,4.40,3.60,3.44,,4.21,2.87,5.45,2.28,6.52,,
May,3.18,2.46,3.54,4.09,3.72,1.55,4.49,4.60,5.85,2.97,,
June,6.60,3.78,3.69,1.44,2.72,2.08,3.06,7.24,2.81,2.73,,
July,4.17,1.78,2.59,5.27,4.89,3.84,4.75,5.29,4.70,5.71,,
August,9.99,8.23,4.05,8.43,5.02,5.18,5.66,7.46,7.37,-999.00,,
September,4.12,7.38,1.98,7.82,5.31,4.71,2.16,3.80,8.52,5.33,,
October,8.01,7.25,3.56,8.65,5.29,3.36,8.41,11.48,2.97,8.12,,
November,8.01,6.85,8.29,4.87,4.37,4.52,4.17,5.82,3.95,4.05,,
December,7.90,6.59,5.41,7.70,5.82,3.83,7.25,8.65,9.03,6.74,,
Total,70.06,60.16,52.21,74.17,,51.07,63.48,72.77,67.52,58.48,,
Calc annual,70.06,60.16,52.21,74.17,57.21,51.07,63.48,72.77,67.52,55.97,,
Difference,0.00,-0.00,0.00,0.00,NaN,-0.00,0.00,-0.00,0.00,2.51,,
