STONEHOUSE-WYCLIFFE-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO807049,Long,-2.280926,Lat,51.742466,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.64,1.39,1.71,2.34,3.33,0.28,2.56,0.28,3.96,3.73,1.24,1.25,3.34,3.56,0.71,4.3,1.35,1.25,1.07,2.32,1.11,4.75,5.25,0.69,3.49,1.86,1.05,3.32,4.19,3.95,2.73,3.92,1.54,3.81,2.24,4.69,2.76,4.65,0.85,4.85,1.28,3.49,2.63,1.9,0.52,3.99,3.43,3.07,5.54,,,,,,,2.87,2.09,4.58,0.98,0.67,3.83,2.11,0.8,2.01,2.85,3.74,2.66,2.2,3.85,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0,1.58,3.03,2.33,0.1,0.48,,0.57,3.74,7.11,1.23,0.97,1.4,4.62,0.73,1.65,1.31,0.97,0.54,3.63,1.26,2.43,1.04,3.04,4.93,3.71,1.45,1.5,2.83,0.81,0.28,3.49,6.6,0.4,4.1,2.03,3.39,2.66,1.59,0.36,1.55,0.16,3.43,0.4,2.65,2.56,3.84,0.86,1.12,,,,,,,1.76,1.35,1.17,1.87,5.76,3.64,0.53,1.44,2.66,1.82,0.33,2.93,3.74,0.22,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.11,1.26,0.56,1.63,2.47,2.42,,0.56,1.96,0.65,2.29,1.5,3.71,1.57,5.07,1.36,0.54,3.12,3.46,0.77,2.16,5.58,3.55,3.51,1.18,4.51,3.38,1.1,5.22,3.07,1.46,2.97,2.31,1.17,0.37,0.5,2.88,3.07,0.16,2.76,0.9,1.82,2.44,1.78,0.54,1.97,3.82,0.15,1.65,,,,,,,0.86,6.98,1.34,1.28,1.46,3.44,2.27,0.6,2.71,1.61,0.47,2.19,0.95,2.21,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.04,1.05,0,3.58,3.59,0.86,1.47,2.25,1.93,1.07,2.72,1.8,2.21,1.33,2.38,0.78,3.15,2.42,2.16,2.12,0.81,0.13,3.39,1.2,0.88,0.88,1.64,2.52,2.16,4.8,0.81,3.45,3.08,2.66,1.64,3.41,1.05,0.76,1,1.95,2.83,2.88,1.02,1.91,5.09,2.07,2.94,0.1,3.52,,,,,,,2.25,2.72,2.64,2.44,2.13,2.9,2.19,2.57,0.21,0.73,1.83,0.09,0.75,3.25,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,4.01,1.06,1.98,1.97,0.56,0.26,1.12,3.54,1.89,2.35,1.29,2.1,4.1,2.11,0.33,2.05,1.56,1.49,1.11,1.41,1.42,2.2,2.61,1.59,2.67,2.61,2.29,1.7,0.38,1.93,1.61,0.55,1.4,5.7,3.41,2.42,0.91,0.62,2.29,1.5,3.33,5.97,1.88,1.03,0.84,0.82,1.49,1.97,0.94,,,,,,,4.04,1.94,4.59,2.98,2.23,2.98,3.1,2.13,1.86,4.23,0.75,1.54,2.48,1.85,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.7,2.64,1.63,1.27,0.84,2.66,1.66,1.48,2.02,1.89,2.46,3.13,4.46,1.26,2.76,3.12,2.49,0.71,2.56,4.02,2.93,5.44,0.35,2.55,1.64,2.07,2.68,1.03,1.36,3.38,0.39,0.85,0.43,2.31,0.01,1.95,3.3,2.13,1.63,0.53,3.87,1.49,1.42,1.17,3.09,2.58,1.15,0.92,1.8,,,,,,,2.56,1.42,1.77,0.57,2.67,0.81,1.98,1.67,4.91,3.62,2.14,1.26,4.04,2.51,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.08,3.11,3.52,2.16,2.42,0.64,1.31,0.81,0.94,1.25,2.43,1.38,3.22,3.49,1,0.88,4.31,1.75,2.49,2.22,0.1,5.02,0.69,4.02,3.28,1.36,2.19,2.86,3.38,4.44,0.58,5,1.57,4.52,4.09,2.72,4.3,2.21,1.65,3.18,4.1,2.14,1.23,3.04,0.41,4.72,2.49,2.87,4.9,,,,,,,1.05,1.81,0.55,1.78,3.51,0.68,0.64,3.1,2.39,1.44,2.15,3.03,2.2,2.05,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,4.02,2.84,1.7,3.15,3.15,2,5.59,3.02,1.25,3.66,1.75,2.71,3.34,2.38,4.09,1.18,1.89,3.6,2.4,4.53,1.45,7.57,1.18,1.47,3.17,4.8,6.83,1.64,2.42,1.02,2.38,4.88,2.29,3.21,3.7,2.1,4.36,1.58,2.12,2.43,5.09,1.63,0.72,1.69,1.84,0.26,1.45,3.4,3.03,,,,,,,5.26,0.65,4.38,1.43,4.27,5.27,3.97,3.14,3.7,0.26,3.38,2.98,4.08,2.99,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.43,1.6,1,2.89,2.89,6.33,2.74,0.87,1.41,0.51,1.97,2.07,3.27,2.14,1.31,0.42,0.59,2.17,3.05,0.55,1.44,0.99,2.81,1.25,1.73,1,2.78,6.58,1.52,2.54,1.99,1.58,2.49,4.07,3.87,0.85,5.18,1.01,0.19,3.16,2.42,3.15,2.57,1.67,4.24,2.75,2.49,2.27,0.59,,,,,,,3.52,1.64,2.69,1.68,3.45,3.03,1.4,2.69,3.36,0.71,2.94,2.65,4.41,0.13,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,7.61,2.4,2.53,3.84,2.84,4.06,1.23,4.76,2.26,3.44,1.19,2.15,6.89,0.56,1.77,4.55,6.34,1.76,4.19,3.83,2.44,3.57,2.74,1.9,3.78,5.81,3.67,1.05,2,2.14,1.54,1.36,5.26,4.74,2.76,3.87,1.86,5.34,4.62,1.94,0.54,5.09,3.03,1.61,3.72,1.22,2.74,3.3,2.5,,,,,,,0.38,0.28,3.33,5.9,0.73,0.61,3.38,2.07,2.45,1.29,1.27,1.81,2.15,2.12,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
