WINCHESTER-OWSLEBURY-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU514232,Long,-1.26807,Lat,51.00653,Elevation,376,ft,,,,,,,,,,,,,
Station no,707,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.63,1.75,3.1,3.63,5.05,2.38,5.56,1.45,4.24,,,,,,,,,,
February,,,3.18,6.1,0.44,4.72,2.05,4.38,2.19,1.03,1.03,,,,,,,,,,
March,,,2.29,1.96,1.46,0.52,0.48,3.25,3,0.1,1.16,,,,,,,,,,
April,,,4.03,2.93,3.07,2.77,2.94,1.99,1.7,0.96,2.44,,,,,,,,,,
May,,,1,2.12,3.89,3.53,1.66,0.85,1.02,1.92,2.01,,,,,,,,,,
June,,,1.85,0.51,2.68,0.04,2.67,2.98,2.76,1.93,0.59,,,,,,,,,,
July,,0.84,4.61,1.6,4.04,3.24,1.81,3.18,1.45,1.9,2.41,,,,,,,,,,
August,,3.04,3.19,2.43,3.6,3.3,1.33,3.94,2.04,1.67,3.82,,,,,,,,,,
September,,1.08,1.92,1.81,6.08,3.19,0.67,6.46,1.06,0.26,3.41,,,,,,,,,,
October,,0.9,1.35,5.63,4.17,3.88,2.29,2.13,6.75,4.52,1.79,,,,,,,,,,
November,,1.8,2.04,1.77,3,2.66,6.67,3.76,2.39,8.44,4.61,,,,,,,,,,
December,,1.76,4.87,3.49,5.92,3.34,0.52,3.5,3.13,6.3,3.43,,,,,,,,,,
Total,,,34.96,32.1,41.45,34.82,28.14,38.8,33.05,30.48,30.94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vicarage 200yds S of Owslebury House,,,,,,,,,,,,,,,,,,,,,
1930 Dec 29 Observer died New observer at The School House but no records added,,,,,,,,,,,,,,,,,,,,,
