CANTLEY-DONCASTER,,,,,,,,,,,,,,,,,,,,
Grid ref,SE624021,Long,-1.0605066,Lat,53.511888,Elevation,35,ft.,,,,,,,,,,,,
Station no,RR6422,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,3.13,0.48,0.92,2.81,0.57,,,,,
February,,,,,,,,,,,0.56,2.14,0.64,0.32,1.12,,,,,
March,,,,,,,,,,,1.44,1.74,3.3,0.63,1.64,,,,,
April,,,,,,,,,,,0.72,1.04,1.69,0.52,1.26,,,,,
May,,,,,,,,,,,1.9,0.88,2.24,0.66,1.49,,,,,
June,,,,,,,,,,,3.21,2.64,1.91,1.06,1.19,,,,,
July,,,,,,,,,,,3.62,2.81,1.48,2.01,0.51,,,,,
August,,,,,,,,,,,5.46,0.33,1.89,2.77,1.38,,,,,
September,,,,,,,,,,,2.8,1.76,3.15,1.56,2.15,,,,,
October,,,,,,,,,,2.16,1.58,0.85,2.2,2.67,2.3,,,,,
November,,,,,,,,,,1.58,2.07,2.08,0.63,1,2.03,,,,,
December,,,,,,,,,,1.81,2.07,1,1.08,0.88,1.63,,,,,
Total,,,,,,,,,,,28.56,17.75,21.13,16.89,17.27,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Cantley Hall, where the observer, J W Childers, lived.",,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,
Ovt to Dec 1859 readings are a note on the 1860s record,,,,,,,,,,,,,,,,,,,,
No other West Riding locations within 10km covering most of the period,,,,,,,,,,,,,,,,,,,,
