TREDEGAR-POPLAR-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO146082,Long,-3.2389256,Lat,51.765941,Elevation,963,ft.,,,,,,,,,,,,
Station no,4006/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.6,10.15,4.29,7.9,1.62,9.23,11.08,8.5,11.43,3.13,4.02,6.15,13.09,6.62,5.37,8.18,5.97,14.65,2.14,1.95
February,4.73,0.28,5.44,0.7,7.04,3.68,8.81,2.59,5.53,4.3,8.44,0.82,5.13,1.47,7.41,5.79,2.51,3.62,3.26,11.64
March,1.15,2.5,5.67,4.73,1.91,5.42,5.38,0.8,3.14,4.36,4.32,4.88,1.51,0.56,2.35,2.62,11.67,3.47,2.38,4.46
April,4.7,4.9,1.49,4.04,7.42,3.71,4.36,0.41,5.12,5.64,1.38,3.76,2.14,3.23,2.96,1.99,6.53,3.93,5.32,4.9
May,5.59,6.1,2.45,2.73,1.41,1.84,2.31,5.18,1.26,2.27,4.08,9.92,6.26,2.32,3.8,5.13,3.66,4.95,4.44,2.82
June,4.8,2.54,3.83,1.6,6.93,4.6,1.67,3.67,3.48,1.45,2.21,0.44,4.84,3.85,5.97,4.94,3.49,5.97,1.11,2.26
July,4.48,3.4,4.35,3.08,1.1,9.48,3.26,5.14,13.39,5.73,3.04,3.76,3.26,4.19,3.82,2.59,4.36,1.79,1,7.59
August,6.43,2.6,1.26,5.52,1.94,0.69,1.15,3.55,3.17,0.53,6.96,7.14,5.76,4.32,3.64,9.41,0.54,6.68,3.23,8.81
September,2.07,3,2.91,3.71,8.78,4.54,2.67,2.93,1.29,3.48,0.92,4.25,6.36,5.41,4.45,9.07,2.79,5.13,3.09,6.91
October,1.32,7.75,7.61,5.88,7.15,3.47,4.74,8.31,5.89,9.18,7.04,4.83,5.59,9.1,7.39,1.67,1.65,6.09,12.78,3.31
November,12.99,3.26,1.24,2.94,9.1,7.24,2.65,9.05,12.78,13.11,4.78,0.97,5.05,9.93,0.81,14.33,5.8,3,7.88,6.29
December,2.93,2.91,2.05,14.53,6.12,10.3,4.48,7.34,3.41,4.18,4.69,9.61,3.61,5.5,10.17,7.11,5.89,12.3,6.35,3.85
Total,56.79,49.39,42.59,57.36,60.52,64.2,52.56,57.47,69.89,57.36,51.88,56.53,62.6,56.5,58.14,72.83,54.86,71.58,52.98,64.79
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is on Poplar Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,
