"DUNKELD, SNAIGOW",,,,,,,,,,,,
Grid ref,NO084429,Long,-3.492313,Lat,56.569081,,,,,,,
Station no,5550,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.47,,
February,,,,,,,,,,1.07,,
March,,,,,,,,,,2.23,,
April,,,,,,,,,,4.14,,
May,,,,,,,,,,2.02,,
June,,,,,,,,,,1.87,,
July,,,,,,,,,,2.82,,
August,,,,,,,,,,1.68,,
September,,,,,,,,,,1.02,,
October,,,,,,,,,,5.06,,
November,,,,,,,,,,0.55,,
December,,,,,,,,,,3.21,,
Total,,,,,,,,,,29.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
