ST MICHAELS ON WYRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD458411,Long,-2.825625,Lat,53.863272,Elevation,26,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,1.66,6.54,3.11,1.53,0.74,0.67,2.77,5.42,4.93,2.37,4.4,,1.44,,,,,,,,,,,,4.48,1.79,2.24,3.84,3.54,1.6,4.5,1.86,2.85,1.96
February,,,,,,,4.07,3.66,1.92,2.85,2.47,4.48,1.83,2.71,2.59,3.83,1.26,,0.56,,,,,,,,,,,,3.29,1.78,1.77,2.88,3.31,1.58,3.38,1.84,2.19,1.17
March,,,,,,,2.47,2.92,1.45,1.53,2.51,3.55,2.9,1.11,3.04,3.74,3.37,,2.92,,,,,,,,,,,,0.59,3.67,2.39,3.47,2.53,2.68,3.26,3.69,2.55,2.69
April,,,,,,,2.88,2.78,1.9,1.38,1.12,1.52,3.5,2.29,1.1,1.28,2.5,,1.39,,,,,,,,,,,,2.13,1.9,1.37,1.47,2.19,2.62,1.57,1.74,2.65,3.11
May,,,,,,,0.35,2.77,3.89,2.09,2.1,3.82,1.87,1.05,2.04,1.41,4.55,,1.11,,,,,,,,,,,,1.61,0.98,3.06,3.06,2.54,0.7,4.26,4.41,2.82,2.08
June,,,,,,,3.94,2.23,3.89,3.61,4.35,3.48,4.49,3.11,0.59,2.03,1.39,,1.6,,,,,,,,,,,,2.6,1.76,1.36,1.53,1.61,2.29,1.99,8.55,2.53,2.38
July,,,,,,,2.12,4.64,0.79,5.61,3.22,5.09,6.27,3.06,4.45,1.92,5.48,,6,,,,,,,,,,,,1.93,1.44,3.72,3.93,2.09,1.95,1.71,2.97,3.88,5.77
August,,,,,,,4.58,6.54,4.43,6.34,1.95,6.93,3.92,2.86,2.76,1.81,1.78,,2.93,,,,,,,,,,,,4.44,3.14,3.13,4.83,3.97,4.44,3.66,4.94,4.5,3.24
September,,,,,,,3.87,4.41,4.42,3.62,3.59,1.89,1.9,5.91,3.47,6.15,4.5,,1.59,,,,,,,,,,,,2.14,1.31,1.45,5.36,1.95,3.07,1.14,0.85,4.52,2.63
October,,,,,,,2.68,5.8,4.71,2.2,2.54,2.23,4.86,4.7,2.53,4.63,5.16,,2.91,,,,,,,,,,,,6.44,3.75,4.13,8.8,2.8,3.14,5.84,3.74,2.6,5.31
November,,,,,,,2.89,6.03,3.13,0.99,4.4,5.06,5.64,4.37,1.99,3.18,3.88,,4.7,,,,,,,,,,,,3.33,4.81,2.21,3.66,2.89,4.4,3.19,3.67,3.49,1.58
December,,,,,,,5.97,5.68,2.29,1.94,5.59,4.49,3.36,2.45,4.6,1.8,5.16,,2.71,,,,,,,,,,,,4.71,3.86,3.41,3.07,2.93,0.75,3.63,4.09,2.79,6.47
Total,,,,,,,37.48,54,35.93,33.69,34.58,43.21,43.31,39.04,34.09,34.15,43.43,,29.86,,,,,,,,,,,,37.69,30.19,30.24,45.9,32.35,29.22,38.13,42.35,37.37,38.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The observer, Rev P J Hornby had several gauges and seemed to stop recording in 1890 returning in 1900 by which time he was an Archdeacon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
