ST. MICHAELS ON WYRE gauge number 2,,,,,,,,,,,,,,,,,,,,
Grid ref,SD458411,Long,-2.825625,Lat,53.863272,Elevation,26,ft,,,,,,,,,,,,
Station no,3057,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.69,2.99,5.81,5.05,2.36,4.51,3.09,1.49,1.57,5.21,,,,,,,,,
February,,4.81,1.9,2.87,2.55,3.86,1.27,2.34,0.52,2.3,0.68,,,,,,,,,
March,,3.65,3.01,1.13,3.01,3.82,3.37,2.27,2.97,2.1,3.58,,,,,,,,,
April,,1.53,3.57,2.46,1.1,1.33,2.45,1.2,1.35,2.16,1.31,,,,,,,,,
May,,3.96,1.94,1.14,2.14,1.42,4.56,1.52,1.12,3.41,2.3,,,,,,,,,
June,,3.62,4.69,3.16,0.6,2.07,1.42,0.67,1.65,1.37,3.81,,,,,,,,,
July,,5.22,6.44,3.15,4.9,1.83,5.56,2.29,6.53,2.56,3.43,,,,,,,,,
August,,7.24,4.09,2.93,2.68,1.85,1.85,2.06,3.32,5.05,6.15,,,,,,,,,
September,,1.94,1.92,5.95,3.47,6.13,4.5,4.31,1.69,3.22,3.85,,,,,,,,,
October,,2.36,5.02,4.76,2.6,4.64,5.04,2.53,3,4.04,3.15,,,,,,,,,
November,,5.34,5.76,4.48,1.96,3.18,3.79,2.85,4.9,1.99,6.22,,,,,,,,,
December,,4.7,3.39,2.53,4.67,1.77,5.15,2.81,2.66,3.23,0.52,,,,,,,,,
Total,,45.06,44.72,40.37,34.73,34.26,43.47,27.94,31.2,33,40.21,,,,,,,,,
