ST MICHAELS ON WYRE gauge number 3,,,,,,,,,,,,,,,,,,,,
Grid ref,SD458411,Long,-2.825625,Lat,53.863272,Elevation,26,ft,,,,,,,,,,,,
Station no,3057,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.35,4.63,1.62,3.04,1.71,3.03,2.21,1.98,1.24,3.31,4.47
February,,,,,,,,,,1.84,0.65,0.17,1.86,4.48,4.81,0.34,1.45,2.67,2.62,1.98
March,,,,,,,,,,1.87,3.19,0.95,0.72,0.83,2.78,3.82,4.71,4.16,0.74,2.58
April,,,,,,,,,,1.95,1.21,2.08,1.34,0.32,1.3,2.39,1.95,3.02,2.17,3.49
May,,,,,,,,,,3.32,2.24,1.71,4.08,1.7,2.51,0.6,0.55,1.75,3.25,3.4
June,,,,,,,,,,1.28,3.81,1.65,3.76,1.34,3.62,1.66,3.51,4.87,1.96,1.55
July,,,,,,,,,,2.36,3.05,3.32,1.5,3.57,2.18,4.08,5.69,1.85,0.57,1.81
August,,,,,,,,,,4.71,5.96,8.91,5.78,3.57,4.86,3.78,3.17,4.46,5.42,1.69
September,,,,,,,,,,2.89,3.49,5.49,5.45,4.61,0.74,1.2,5.14,3.76,1.31,4.99
October,,,,,,,,,,3.85,2.75,3.71,4.41,5.52,3.58,5.03,4.23,2.27,3.41,3.15
November,,,,,,,,,,1.89,5.91,4.66,2.92,1.93,3.81,3.04,1.35,4.99,3.85,2.66
December,,,,,,,,,,2.9,0.57,6.28,2.34,3.61,3.65,3.64,5.23,3.86,3.95,3
Total,,,,,,,,,,30.21,37.46,40.55,37.2,33.19,36.87,31.79,38.96,38.9,32.56,34.77
,,,,,,,,,,,,,,,,,,,,
1890s very badly transcribed so manually entered,,,,,,,,,,,,,,,,,,,,
