"ST ALBANS HILL END ASYLUM",,,,,,,,,,,,
Grid ref,TL175068,Long,-0.299382,Lat,51.747586,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.53,2.96,1.24,3.75,1.03,1.58,0.74,,
February,,,,0.92,3.14,0.78,2.26,1.40,1.32,0.38,,
March,,,,2.98,1.31,3.08,1.36,0.93,3.12,3.00,,
April,,,,1.40,0.88,2.00,0.53,2.80,2.68,1.71,,
May,,,,2.11,1.79,0.82,0.97,1.98,2.09,1.28,,
June,,,,5.58,0.82,3.75,3.11,2.32,1.25,3.43,,
July,,,,3.39,1.94,1.02,0.54,1.50,2.46,2.52,,
August,,,,3.67,2.09,2.74,1.25,1.82,2.92,2.21,,
September,,,,2.52,1.35,1.58,1.00,0.74,1.44,2.19,,
October,,,,6.31,1.22,1.31,4.63,4.73,1.92,4.69,,
November,,,,1.85,1.47,2.92,3.97,2.35,1.01,0.84,,
December,,,,2.09,2.09,0.95,2.32,2.95,2.17,3.12,,
Total,,,,35.35,21.06,22.19,25.69,24.55,23.96,26.11,,
Calc annual,0.00,0.00,0.00,35.35,21.06,22.19,25.69,24.55,23.96,26.11,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
