LOCH KISHORN (TORNAPRESS),,,,,,,,,,
Grid ref,NG845431,Long,-5.59118,Lat,57.426974,Elevation,350,ft,,
Station no,5791/38,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.8
February,,,,,,,,,,
March,,,,,,,,,,1.61
April,,,,,,,,,,5.51
May,,,,,,,,,,2.48
June,,,,,,,,,,5.68
July,,,,,,,,,5.84,2.9
August,,,,,,,,,6.91,5.28
September,,,,,,,,,5.83,5.5
October,,,,,,,,,12.06,1.56
November,,,,,,,,,8.79,6.93
December,,,,,,,,,8.37,9.96
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5791/38,,,,,,,,,
Midas,14111,,,,,,,,,
Hyd stn,709804,,,,,,,,,
