"ROTHAMSTEAD, ST ALBANS (LARGE GAUGE)",,,,,,,,,,
Grid ref,TL132134,Long,-0.359491,Lat,51.807787,Elevation,420,ft,,
Station no,936,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,2.02,0.6,,,,
February,,,,1.63,0.95,1.03,,,,
March,,,,2.37,0.51,2.32,,,,
April,,,,2.99,0.5,0.41,,,,
May,,,,1.68,4.38,2.32,,,,
June,,,,3.4,0.76,1.82,,,,
July,,,,4.49,0.86,6.97,,,,
August,,,,2.97,2.69,2.63,,,,
September,,,,2.01,0.78,1.5,,,,
October,,,,3.66,2.29,5.5,,,,
November,,,,2.05,1.53,2.47,,,,
December,,,,0.41,1.58,1.73,,,,
Total,,,,,18.85,29.3,,,,
