"ROTHAMSTEAD, ST ALBANS (SMALL GUAGE)",,,,,,,,,,
Grid ref,TL132134,Long,-0.359491,Lat,51.807787,Elevation,420,ft,,
Station no,936,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,1.65,0.13,,,,
February,,,,0.82,0.66,0.87,,,,
March,,,,1.67,0.32,1.72,,,,
April,,,,2.46,0.34,0.23,,,,
May,,,,1.36,3.76,2.31,,,,
June,,,,3.08,0.52,1.31,,,,
July,,,,4.14,0.68,6.49,,,,
August,,,,2.6,2.57,2.25,,,,
September,,,,1.66,0.5,1.29,,,,
October,,,,2.99,1.86,4.55,,,,
November,,,,1.66,1.13,1.91,,,,
December,,,,0.18,1.31,1.33,,,,
Total,,,,,15.3,24.39,,,,
