DISLEY LYME PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ966836,Long,-2.052,Lat,53.3502,Elevation,674,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,6.57,,4.53,4.9,2.48,3.81,2.88,2.04,0.71,0.43,4.6,7.48,7.07,3.72,7.08,2.5,1.87,1.91,6.35,3.94,2.78,1.99,2.79,2.18,1.36,1.25,1.9,4.14,4.27,1.65,2.82,2.94,3.16,1.97,4.35,1.21,2.67,1.57,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,5.25,,2.78,1.09,5.78,3.21,0.98,5.02,4.22,7.38,5.43,5.06,3.83,4.81,0.69,1.13,1.39,2.2,0.42,0.4,2.51,3.94,3.89,0.37,0.88,2.13,1.92,1.3,2.94,1.24,0.9,2.97,3.81,1.73,2.79,1.8,3.09,2.1,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,4.19,,4.82,0.74,5.37,2.38,1.31,2.29,1.78,6.01,3.28,1.21,3.45,2.78,4.05,1.97,2.66,3.87,5.1,2.47,0.67,0.77,3,3.54,6.03,3.57,1.62,1.73,0.65,2.45,2.17,4.15,1.75,3.8,2.81,2.68,3.12,2.86,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,4.48,,2.15,1.36,4.39,2.73,1.42,2.59,2.74,1.91,5.21,2.74,1.88,3.63,2.6,1.13,2.01,3.29,0.86,2.29,1.91,0.96,1.75,1.57,1.52,2.9,2.26,3.66,2.29,2.91,2.16,1.37,2.05,2.02,2.33,1.29,1.96,2.59,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,5.02,,1.63,2.53,1.81,3.37,4.13,2.28,3.38,5.2,3,1.4,2.81,3.29,9.11,3.28,1.06,3.63,3.48,4.1,5.72,3.13,2.24,1.04,0.45,1.93,3.27,2.18,1.61,1.01,3.62,3.18,2.53,1.06,3.55,3.79,2.94,1.66,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,9.95,,1.1,4.02,5.3,2.06,1.96,6.06,4.49,3.11,10.36,6.05,2.39,4.87,1.93,0.91,3.46,0.69,4.53,3,5.41,1.79,3.78,2.78,2.16,2.66,2.23,1.39,5.34,1.44,1.3,0.8,0.93,1.55,1.77,5.84,2.99,2.48,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,8.82,,3.05,5.92,3.46,4.47,0.88,6.85,8.96,3.78,8.77,4.96,6.08,2.3,6.29,1.48,8.23,4.77,4.82,5.25,5.35,3.3,2.55,6.02,2.05,1.82,0.88,1.61,2.62,3.18,1.87,3.06,1.37,2.35,2.1,4.36,5.53,4.58,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,4.33,,6.94,4.54,3.77,4.61,6.26,10.66,2.66,7.16,5,5.74,3.38,1.77,3.09,3.09,4.95,6.18,6.32,6.38,5.08,2.77,4.53,4.04,3.09,3.05,5.39,1.43,4.64,2,3.81,4.27,4.62,3.43,2.97,4.33,2.7,2.65,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,8.65,,5.17,6.76,6.69,1.93,3.32,3.59,5.78,4.36,2.6,9.98,5.2,5.82,3,4.87,1.75,4.54,0.98,2.67,5.45,2.81,0.67,0.93,6.15,4.85,0.61,4.72,1.24,0.75,1.08,4.54,1.06,2.26,1.75,0.56,3.09,2.68,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,7.93,,5.4,7.12,2.14,3.26,3.16,3.66,3.91,5.49,5.08,7.71,3.37,9.85,7.92,3.03,2.1,4.64,4.17,4.6,6.45,1.84,3.25,2.91,4.02,1.55,3.51,3.26,4.14,3.46,3.73,7.57,1.87,2.71,5.89,3.69,0.89,5.3,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,6.56,,6.09,7.12,7.1,3.95,2.89,1.61,4.78,6.21,10.05,5.7,3.41,5,3.75,2.08,8.49,2.47,8.41,2.66,3.32,2.09,2.6,3.11,1.3,3.17,2.86,1.61,2.6,4.47,1.85,3,2.23,3.09,2.35,2.58,2.56,1.24,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,5.15,,3.31,2.19,7.81,2.48,2.1,3.7,5.98,7.52,6.65,4.97,6.55,3.15,7.84,3.59,3.24,3.41,0.05,6.86,2.27,4.09,2.65,2.95,4.34,5.35,4.61,2.9,4.2,4.06,2.96,1.74,2.28,0.83,3.03,2.93,2.6,5.86,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,29.1,33.14,45.89,45.52,41.98,49.91,45.28,47.35,76.9,37.9,46.97,48.29,56.1,38.26,31.29,50.35,49.39,58.56,70.03,63,49.42,50.99,57.35,29.06,41.21,41.6,45.49,44.62,46.92,29.48,33.7,31.44,33.35,34.23,31.06,29.93,36.54,28.62,28.27,39.59,27.66,26.8,35.69,35.06,34.14,35.57,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
