"DISLEY (LYME PARK)",,,,,,,,,,,,
Grid ref,SJ966836,Long,-2.052537,Lat,53.349278,,,,,,,
Station no,2732,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.27,1.65,2.82,2.94,3.16,1.97,4.35,1.21,2.67,1.57,,
February,2.94,1.24,0.90,2.97,3.81,1.73,2.79,1.80,3.09,2.10,,
March,0.65,2.45,2.17,4.15,1.75,3.80,2.81,2.68,3.12,2.86,,
April,2.29,2.91,2.16,1.37,2.05,2.02,2.33,1.29,1.96,2.59,,
May,1.61,1.01,3.62,3.18,2.53,1.06,3.55,3.79,2.94,1.66,,
June,5.34,1.44,1.30,0.80,0.93,1.55,1.77,5.84,2.99,2.48,,
July,2.62,3.18,1.87,3.06,1.37,2.35,2.10,4.36,5.53,4.58,,
August,4.64,2.00,3.81,4.27,4.62,3.43,2.97,4.33,2.70,2.65,,
September,1.24,0.75,1.08,4.54,1.06,2.26,1.75,0.56,3.09,2.68,,
October,4.14,3.46,3.73,7.57,1.87,2.71,5.89,3.69,0.89,5.30,,
November,2.60,4.47,1.85,3.00,2.23,3.09,2.35,2.58,2.56,1.24,,
December,4.20,4.06,2.96,1.74,2.28,0.83,3.03,2.93,2.60,5.86,,
Total,36.54,28.62,28.27,39.59,27.66,26.80,35.69,35.06,34.14,35.57,,
Calc annual,36.54,28.62,28.27,39.59,27.66,26.80,35.69,35.06,34.14,35.57,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
