DISLEY LYME PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ971835,Long,-2.0447,Lat,53.3488,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,3.05,1.37,2.48,2.22,2.19,5.07,2.34,2,1.41,2.68,3.47,,,3.35,2.91,2.69,2.75,2.87,7.33,1.48,4.42,4.84,3.48,2.13,2.84,2.22,2.39,2.99,3.6,4.16,1.96,0.84,2.36,4.06,5.29,2.42,4.02,2.4,7.48,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,3,2.8,0.75,0.9,2.09,3.27,4.21,0.53,3.09,0.86,2.8,,,4.42,0.88,5.38,2.36,1.35,4.3,0.84,0.25,3.75,0.15,3.39,0.27,3.46,2.17,5.22,1.17,2.44,1.78,3.13,1.1,2.64,1.49,2.92,5.1,0.48,2.15,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,0.7,1.84,3.87,4.12,4.07,1.43,1.79,1.38,1.24,3.74,2.23,,1.72,1.72,0.81,1.56,1.52,3.67,1.53,0.75,2.29,0.46,2.11,2.78,2.59,1.24,1.5,1.83,1.09,1.7,2.5,2.94,1.95,0.93,0.54,1.34,0.87,4.41,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,4.46,2.36,0.7,4.39,1.58,1.13,2.53,1.28,1.2,1.73,3.81,,2.78,3.1,1.66,1.64,1.23,2.81,1.16,1.1,2.14,4.3,3.28,1.3,1.78,2.1,1.09,2.78,0.29,2.16,2.31,2.19,1.48,1.66,2.62,2.13,1.77,2.41,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,2.35,1.66,2.15,3.11,2.33,1.15,2.03,1.31,2.15,1.58,4.55,,1.09,3.72,4.42,3.31,3.39,1.3,1.2,2.33,1.79,2.06,4.19,2.21,2.3,0.62,0.45,1.77,2.92,1.34,1.5,1.73,4.25,2.44,4.58,3.81,1.75,2.37,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,2.42,3.14,3.54,1.93,1.44,1.97,3.31,1.93,1.26,2.28,2.7,,2.55,1.43,2.49,0.17,2.8,5.98,5.57,1.55,2.45,5.04,0.51,3.54,3.83,3.41,2.6,1.79,3.77,2.62,1.31,3.26,0.87,2.84,2.73,2.86,3.3,2.44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.63,5.16,0.38,3.82,1.62,4.01,4.7,1.63,1.97,4.19,2.23,5.03,,4.71,4.68,3.94,1.68,2.16,3.49,2.39,4.02,7.5,4.44,3.88,2.64,3.07,1.44,4.18,3.87,4.38,7.06,5,2.51,4.03,1.64,3.36,1.77,5.3,3.41,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.55,4.54,2.65,6.08,1.95,3.05,3.69,1.79,4.69,2.3,2.83,1.96,,4.26,4.04,7.09,3.74,3.48,4.42,6.45,4.14,4.1,5.43,1.33,2.09,2.24,2.14,1.34,0.79,2.56,1.51,1.48,5.29,4.59,4.29,3.57,3.85,5.38,0.52,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.63,0.26,3.13,1.79,0.92,2.95,0.52,2.26,1.51,7.03,2,,,3.46,4.08,3.34,3.73,3.26,6.21,0.95,2.01,2.9,3.55,2.45,0.63,3.34,5.2,3.65,1.2,2.23,1.2,3.45,0.64,2.5,4.19,3.87,1.85,5.12,1.72,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.92,2.08,2.53,2.7,1.79,1.67,1.37,4.07,4.22,1.83,2.24,,,0.49,3.87,4.03,4.2,3.26,2.23,4.07,4.46,5.54,1.71,6.78,4.21,4.58,5.3,3.5,1.81,6.01,1.74,3.67,4.22,5.54,3.08,3.98,5.56,0.55,0.47,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
