"DISLEY LYME PARK 2A",,,,,,,,,,,,
Grid ref,SJ966836,Long,-2.052537,Lat,53.349278,,,,,,,
Station no,2732,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,4.63,,
August,,,,,,,,,,2.55,,
September,,,,,,,,,,2.63,,
October,,,,,,,,,,4.92,,
November,,,,,,,,,,1.21,,
December,,,,,,,,,,5.77,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
