WHITSTABLE-TANKERTON,,,,,,,,,,,,,,,,,,,,
Grid ref,TR113671,Long,1.0338968,Lat,51.363646,Elevation,70,ft,,,,,,,,,,,,
Station no,RR8362,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.76,1.55,0.72,3.08,1.04,2.64,3.24,0.71,2.17,,,,
February,,,,,,,,1.01,0.97,0.96,2.65,0.78,1.12,0.6,1.78,2.72,,,,
March,,,,,,,,0.62,1.67,2.5,1.3,1.72,3.57,1.9,3.52,0.87,,,,
April,,,,,,,,2.07,1.81,1.06,1.55,1.63,0.68,1.69,1.33,0.75,,,,
May,,,,,,,,1.95,1.06,0.75,2.79,0.91,0.59,0.79,0.73,,,,,
June,,,,,,,1.7,1.55,1.1,2.81,2.52,2.11,2.23,0.48,0.84,,,,,
July,,,,,,,0.96,1.13,2.56,2.74,1.77,0.38,1.35,1.51,2.41,,,,,
August,,,,,,,0.43,1.45,2.7,2.4,1.45,0.56,4.5,0.62,0.63,,,,,
September,,,,,,,1.73,0.4,1.24,1.98,0.62,1.42,2.17,1.11,0.37,,,,,
October,,,,,,,2.21,2.6,1.33,4.33,1.16,4.66,2.37,3.04,2.35,,,,,
November,,,,,,,,1.81,1.1,0.56,2.84,3.21,1.61,2.66,2.96,,,,,
December,,,,,,,1.59,1.83,2.08,3.4,2.53,4.33,1.43,0.83,4.76,,,,,
Total,,,,,,,,17.18,19.17,24.21,24.26,22.75,24.26,18.47,22.39,,,,,
