"HANMER (GREDINGTON)",,,,,,,,,,,,
Grid ref,SJ447386,Long,-2.824342,Lat,52.941927,,,,,,,
Station no,4269,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.08,2.72,0.85,2.07,2.73,3.85,1.62,2.74,4.10,4.71,,
February,2.19,0.44,1.70,3.25,1.70,0.82,2.86,4.80,0.17,2.32,,
March,5.09,1.31,0.71,2.55,2.37,1.18,2.06,1.11,1.87,1.34,,
April,1.56,2.62,3.51,0.37,1.05,2.09,0.21,0.17,4.61,0.81,,
May,3.96,2.27,2.25,2.74,3.53,0.41,2.29,3.41,2.36,2.05,,
June,1.36,1.66,2.37,3.29,3.40,1.62,1.61,5.34,2.28,2.74,,
July,2.51,1.55,2.78,2.36,0.15,2.79,7.55,3.96,2.00,3.42,,
August,3.16,1.86,2.22,3.86,0.84,4.72,5.11,2.98,1.77,4.48,,
September,2.06,2.59,2.64,2.46,1.35,2.02,6.16,6.34,0.21,4.10,,
October,1.17,5.54,1.89,5.68,1.80,2.08,1.96,3.13,2.65,4.23,,
November,6.66,2.19,2.05,6.05,1.22,0.99,2.20,2.09,3.83,4.65,,
December,3.62,2.49,1.13,1.65,3.38,3.80,1.10,3.50,5.76,1.96,,
Total,35.42,27.24,24.10,36.33,23.52,26.37,34.73,39.57,31.61,36.81,,
Calc annual,35.42,27.24,24.10,36.33,23.52,26.37,34.73,39.57,31.61,36.81,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
