"ELGIN (THE BIELD)",,,,,,,,,,,,
Grid ref,NJ194627,Long,-3.351989,Lat,57.646981,,,,,,,
Station no,5678/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,2.33,1.19,1.30,1.25,2.71,2.39,3.32,3.40,3.03,,
February,2.16,1.24,1.44,1.13,2.27,2.37,0.84,3.13,0.38,2.19,,
March,1.95,1.82,0.44,1.14,1.44,0.57,2.72,1.43,1.01,0.96,,
April,3.17,0.79,2.54,0.76,0.96,1.95,0.57,1.25,1.97,1.66,,
May,0.77,1.46,2.46,4.58,3.51,1.10,1.01,3.25,0.65,1.10,,
June,1.95,1.96,2.45,2.64,1.43,2.74,1.81,1.55,1.78,2.61,,
July,3.78,2.66,4.17,2.53,0.88,6.38,5.12,4.57,2.12,2.58,,
August,3.65,2.71,1.51,2.22,1.90,3.91,5.10,3.77,1.22,8.02,,
September,0.48,3.45,2.96,1.80,1.47,2.69,1.41,1.41,0.81,2.33,,
October,1.22,1.43,0.55,5.10,4.64,2.81,1.46,1.64,3.13,3.42,,
November,3.86,2.80,1.87,1.94,0.91,1.63,2.61,0.93,2.40,1.63,,
December,2.49,1.58,2.64,4.24,4.38,2.47,2.94,1.46,1.16,0.80,,
Total,28.02,24.23,24.22,29.38,25.04,31.33,27.98,27.71,20.03,30.33,,
Calc annual,28.02,24.23,24.22,29.38,25.04,31.33,27.98,27.71,20.03,30.33,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
