ELGIN (THE BIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ1938962625,Long,-3.35215,Lat,57.6463,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5678/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.3,2.06,2.11,3.53,0.83,1.89,2.32,1.36,2.68,3.6,0.5,1.35,1.95,2.53,1.6,2.54,2.33,1.19,1.3,1.25,2.71,2.39,3.32,3.4,3.03
February,,,,,,0.79,2.07,1.33,1.05,0.66,3.52,1.62,1.8,1.97,1.07,2.12,0.88,1.17,1.12,1.9,2.16,1.24,1.44,1.13,2.27,2.37,0.84,3.13,0.38,2.19
March,,,,,,1.28,2.28,0.86,1.68,3.14,1.95,0.65,0.95,1.08,0.63,0.98,2.22,0.65,2.11,1.71,1.95,1.82,0.44,1.14,1.44,0.57,2.72,1.43,1.01,0.96
April,,,,,,0.64,0.52,0.47,1.13,1.39,1.48,0.74,1.59,1.35,0.88,0.96,1.32,2.01,1.29,2.91,3.17,0.79,2.54,0.76,0.96,1.95,0.57,1.25,1.97,1.66
May,,,,,,0.83,0.95,2.24,0.71,1.33,2.77,1.78,2.92,1.75,2.88,1.92,1.09,1.27,2.56,1.25,0.77,1.46,2.46,4.58,3.51,1.1,1.01,3.25,0.65,1.1
June,,,,,,1.25,3.12,4.51,1,1.14,0.35,1.12,1.48,2.75,2.12,1.53,3.34,4.81,1.2,1.76,1.95,1.96,2.45,2.64,1.43,2.74,1.81,1.55,1.78,2.61
July,,,,,,5.23,3.13,4.09,4.61,8.95,2.49,3.45,1.45,1.78,2.46,4.88,1.82,2.72,1.83,2.08,3.78,2.66,4.17,2.53,0.88,6.38,5.12,4.57,2.12,2.58
August,,,,,,3.38,2.36,1.62,1.9,1.6,6,2.67,3.98,1.65,5.61,3.05,0.6,6.6,5.35,2.21,3.65,2.71,1.51,2.22,1.9,3.91,5.1,3.77,1.22,8.02
September,,,,,,2.24,1.16,3.98,1.35,1.83,1.06,2.93,2.33,4.12,2.02,3.24,3.06,2.13,1.88,4.54,0.48,3.45,2.96,1.8,1.47,2.69,1.41,1.41,0.81,2.33
October,,,,,,2.12,2.32,2.82,2.85,2.33,4.5,4.39,2.24,2.26,4.36,0.39,1.19,2.88,1.75,0.69,1.22,1.43,0.55,5.1,4.64,2.81,1.46,1.64,3.13,3.42
November,,,,,,1.13,1.27,2.06,2.05,4.72,2.09,1.15,2.23,2.66,0.5,2.59,4.31,1.54,2.16,3.93,3.86,2.8,1.87,1.94,0.91,1.63,2.61,0.93,2.4,1.63
December,,,,,,1.44,2.31,0.93,2.7,2.63,1.53,1.47,0.47,2.32,3.35,1.22,1.54,1.72,3.73,2.39,2.49,1.58,2.64,4.24,4.38,2.47,2.94,1.46,1.16,0.8
Total,,,,,,23.63,23.55,27.02,24.56,30.55,29.63,24.29,22.8,26.37,29.48,23.38,22.72,29.45,27.51,26.97,28.02,24.23,24.22,29.38,25.04,31.33,27.98,27.71,20.03,30.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location based on ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas 14754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
