CARPERBY,,,,,,,,,,,,,,,,,,,
Grid ref,SE008898,Long,-1.989,Lat,54.304,Elevation,720,ft,,,,,,,,,,,
Station no,RR6531,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,6.36,1.50,7.42,,,,,,,,,,,,1.35,,3.37,2.68,2.08
February,1.05,5.32,3.44,,,,,,,,,,,,2.42,,0.10,3.53,6.19
March,0.92,5.83,3.28,,,,,,,,,,,,2.86,,2.87,0.98,1.16
April,1.36,2.73,3.30,,,,,,,,,,,,3.85,,3.92,1.52,0.60
May,1.56,0.77,1.89,,,,,,,,,,,,2.15,,2.99,2.03,1.93
June,2.83,2.28,2.56,,,,,,,,,,,,0.45,,1.25,4.13,1.93
July,4.59,2.11,4.77,,,,,,,,,,,,2.95,,3.87,1.62,2.93
August,3.19,2.66,6.56,,,,,,,,,,,,5.20,,6.15,5.61,3.13
September,4.34,3.72,3.04,,,,,,,,,,,,0.86,,3.33,3.27,2.53
October,5.44,3.18,6.12,,,,,,,,,,,,7.27,,4.70,9.50,1.83
November,6.26,3.95,7.05,,,,,,,,,,,,1.31,,4.20,1.96,2.53
December,3.36,8.69,3.79,,,,,,,,,,,,1.69,,7.07,1.25,4.01
Total,41.26,42.74,53.22,,,,,,,,,,,,32.36,,43.82,38.08,30.85
,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/032,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/015,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/165,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# No detailed location information.,,,,,,,,,,,,,,,,,,,
# The grid reference is central Carperby.,,,,,,,,,,,,,,,,,,,
