"COBHAM SOLE STREET HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4507,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.34,1.18,3.14,3.65,0.52,3.74,1.00,1.24,3.23,3.90,,
February,3.86,1.05,1.65,0.82,,4.42,4.50,0.52,0.77,2.47,,
March,1.76,2.25,3.69,2.48,8.52,0.93,4.66,1.53,0.99,3.56,,
April,1.51,,0.08,2.44,1.25,1.52,2.36,1.91,2.36,3.50,,
May,2.46,-999.00,0.95,,,3.80,2.13,2.16,1.35,-999.00,,
June,1.42,1.87,3.13,-999.00,2.66,1.06,1.84,1.92,1.67,-999.00,,
July,2.57,0.95,1.23,2.44,0.80,3.26,1.52,6.04,6.02,2.64,,
August,2.09,0.73,4.32,,0.87,2.32,2.72,-999.00,1.95,2.55,,
September,0.89,0.97,3.32,-999.00,0.65,2.54,1.16,1.25,4.08,1.24,,
October,1.21,4.05,2.96,4.33,2.34,2.05,2.93,3.60,2.60,0.70,,
November,3.25,5.61,2.45,3.48,3.02,3.63,4.66,1.27,2.26,2.06,,
December,5.40,5.60,2.62,0.92,7.45,5.91,3.46,1.98,1.81,3.84,,
Total,28.76,25.72,29.54,25.90,28.08,35.18,32.94,28.71,29.09,27.84,,
Calc annual,28.76,24.26,29.54,20.56,28.08,35.18,32.94,23.42,29.09,26.46,,
Difference,0.00,1.46,-0.00,5.34,0.00,0.00,0.00,5.29,0.00,1.38,,
