BOSTON - SIBSEY ROAD,,,,,,,,,,,,,,
Grid ref,TF339466,Long,-0.006,Lat,53.000,Elevation,9,ft,,,,,,
Station no,2540,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,,3.90,1.30,2.61,2.10,3.91,2.18,2.21,0.99,1.78,3.41,1.13,0.93,2.76
February,,0.39,1.95,2.29,1.11,0.42,1.88,1.67,1.41,-999.00,0.59,0.61,3.01,2.68
March,,1.72,1.34,3.14,1.16,0.49,0.31,0.59,0.67,-999.00,0.38,0.86,0.43,2.85
April,,1.51,0.95,0.59,0.47,0.74,1.63,1.05,0.85,1.41,0.94,1.72,1.72,2.27
May,,0.65,0.76,1.83,2.10,2.30,0.85,1.09,1.08,0.27,2.61,1.75,2.78,2.71
June,,2.05,1.13,0.35,1.44,1.28,2.40,2.07,2.80,2.57,2.98,0.62,1.53,0.83
July,,1.87,4.59,4.34,1.99,0.90,1.69,1.69,1.87,1.30,1.37,2.91,2.52,0.96
August,,1.36,0.55,3.92,2.00,1.99,2.11,3.90,3.04,0.02,3.35,2.25,1.95,3.18
September,2.36,0.88,0.49,0.67,0.92,1.92,3.68,1.15,2.50,1.34,2.08,1.31,3.45,1.57
October,2.05,2.87,2.36,2.72,2.00,0.79,2.19,1.93,2.46,0.10,1.73,3.82,0.84,0.86
November,1.59,3.42,3.86,2.64,2.32,1.94,3.20,0.60,3.74,0.87,1.17,2.30,3.42,2.95
December,3.32,2.17,1.44,0.36,1.33,0.76,1.14,2.19,2.04,1.76,2.98,1.08,,1.12
Total,,22.79,20.72,25.46,18.94,17.44,23.26,20.14,23.45,17.48,23.59,20.36,,24.74
,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/110,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/194,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/196,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# The gauge, with the same observer, moves to this side from the Boston Bargate End site at the end of August 1938.",,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# February-March 1947 are bracketed on the sheet and recorded as apportioned.,,,,,,,,,,,,,,
# The December 1950 figure is shown as an estimate and has been omitted.,,,,,,,,,,,,,,
