"BOSTON BARGATE END",,,,,,,,,,,,
Grid ref,TF331445,Long,-0.018954,Lat,52.981323,,,,,,,
Station no,2540,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.91,0.91,,
February,,,,,,,,,1.37,0.44,,
March,,,,,,,,,2.28,2.97,,
April,,,,,,,,,2.33,1.35,,
May,,,,,,,,,1.36,0.89,,
June,,,,,,,,,1.56,3.47,,
July,,,,,,,,,3.14,4.09,,
August,,,,,,,,,2.45,2.81,,
September,,,,,,,,,1.52,1.61,,
October,,,,,,,,,0.80,3.69,,
November,,,,,,,,,1.13,0.66,,
December,,,,,,,,,1.15,3.89,,
Total,,,,,,,,,20.00,26.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,26.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
