"BOSTON (SIBSEY ROAD)",,,,,,,,,,,,
Grid ref,TF339466,Long,-0.006177,Lat,52.999989,,,,,,,
Station no,2540,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.76,,,,,,,,,,,
February,2.68,,,,,,,,,,,
March,2.85,,,,,,,,,,,
April,2.27,,,,,,,,,,,
May,2.71,,,,,,,,,,,
June,0.83,,,,,,,,,,,
July,0.96,,,,,,,,,,,
August,3.18,,,,,,,,,,,
September,1.57,,,,,,,,,,,
October,0.86,,,,,,,,,,,
November,2.95,,,,,,,,,,,
December,1.12,,,,,,,,,,,
Total,24.74,,,,,,,,,,,
Calc annual,24.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
