BOSTON - BARGATE END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF331445,Long,-0.019,Lat,52.981,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
January,0.91,0.91,1.42,1.71,2.79,2.90,1.62,2.48,0.94,2.45,1.92,2.83,1.56,1.83,2.41,1.41,1.93,1.21,2.63,1.76,3.39,1.69,1.87,2.34,0.89,1.28,1.42,2.25,2.72,3.43,2.32
February,1.37,0.44,2.67,1.25,1.15,0.61,0.72,2.15,3.89,0.89,1.44,2.36,0.70,0.43,2.55,3.14,1.00,1.76,1.60,1.97,1.30,0.41,0.67,2.49,0.66,1.57,0.51,1.38,2.28,2.22,0.82
March,2.28,2.97,0.53,1.91,1.82,2.53,2.40,1.28,3.93,1.19,0.39,2.34,2.36,0.68,1.51,1.62,0.56,1.21,0.61,1.71,1.61,0.22,1.61,0.39,1.28,2.04,1.63,0.28,0.87,2.51,0.19
April,2.33,1.35,2.07,0.74,0.20,1.85,0.89,0.35,1.58,2.15,1.60,2.29,3.58,0.87,2.32,0.84,1.65,1.83,1.62,2.35,1.07,0.59,2.20,2.28,2.30,1.21,1.59,1.93,1.49,2.34,0.17
May,1.36,0.89,2.61,0.83,2.49,2.01,0.75,1.59,1.53,1.21,3.07,0.60,2.03,1.19,1.06,2.02,2.33,3.61,2.08,0.97,1.65,1.13,2.27,2.32,3.43,1.66,0.74,0.36,0.57,4.83,1.61
June,1.56,3.47,1.57,2.86,3.13,0.82,2.46,0.66,2.46,1.57,0.85,0.89,2.38,0.43,1.22,0.40,2.10,0.17,3.03,3.05,2.94,1.37,0.98,2.47,0.30,1.67,0.47,1.86,3.00,1.73,0.78
July,3.14,4.09,2.49,0.14,4.14,0.72,1.08,5.16,1.60,1.14,2.95,2.31,2.47,0.33,4.53,2.32,1.99,0.85,1.53,1.92,1.05,1.55,2.95,4.96,4.48,1.15,1.30,0.36,4.28,5.24,1.46
August,2.45,2.81,2.96,3.00,6.01,0.59,1.31,2.41,2.20,4.10,1.27,2.63,1.29,3.73,1.95,2.03,1.95,1.19,1.34,3.20,1.54,0.82,2.80,6.82,1.66,0.38,1.97,1.70,1.08,0.54,2.16
September,1.52,1.61,1.17,2.07,1.41,1.67,1.07,0.97,1.24,0.98,4.01,1.47,1.39,0.58,2.20,2.31,2.12,2.63,2.16,3.07,0.27,0.45,3.52,2.59,2.26,1.62,1.11,2.17,1.32,1.34,
October,0.80,3.69,1.99,2.67,1.79,6.48,1.96,1.26,1.96,3.03,1.86,1.80,1.28,2.13,1.02,2.40,3.78,2.21,1.90,1.90,3.72,2.60,1.14,0.60,3.06,2.92,1.10,2.53,2.30,1.79,
November,1.13,0.66,2.57,2.59,2.49,1.75,2.28,2.43,3.10,1.33,1.99,1.78,0.57,1.24,1.12,2.31,1.98,2.48,2.79,2.54,2.51,4.05,2.76,1.85,1.45,2.06,1.71,3.71,2.02,1.86,
December,1.15,3.89,4.17,3.80,3.18,0.56,4.51,4.82,2.84,1.03,2.54,3.56,2.22,1.08,2.69,2.94,1.76,1.73,0.61,2.28,2.11,3.95,1.59,0.88,0.57,0.47,3.33,2.42,1.15,2.01,
Total,20.00,26.78,26.22,23.57,30.60,22.49,21.05,25.56,27.27,21.07,23.89,24.86,21.83,14.52,24.58,23.74,23.15,20.88,21.90,26.72,23.16,18.83,24.36,29.99,22.34,18.03,16.88,20.95,23.08,29.84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge, with the same observer, moves to the Boston Sibsey Road site at the end of August 1938.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
