LOCH FANNICH (FANNICH LODGE),,,,,,,,,,
Grid ref,NH219660,Long,-4.986042,Lat,57.648596,Elevation,880,ft,,
Station no,5773/6/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,9.36,10.66,,5.31,5.87
February,,,,,,5.76,4.39,,4,6.22
March,,,,,,3.39,5.01,,4.09,1
April,,,,,2.65,4.05,2.19,,6.6,6.83
May,,,,,4.17,6.26,2.22,,3.25,1.95
June,,,,,2.88,3.5,3.38,,5.15,4.79
July,,,,,1.64,7.77,5.57,,7.99,3.36
August,,,,,0.89,8.03,8.7,4.72,4.94,5.1
September,,,,,7.71,4.7,8.46,3.55,2.5,2.72
October,,,,,11.14,8.96,10.16,8.7,10.4,2.55
November,,,,,3.61,10.35,,2.26,7.75,3.59
December,,,,,11.43,12.33,,5.25,7.05,8.04
Total,,,,,,84.46,,,69.03,52.02
,,,,,,,,,,
1955 -999 Deleted,,,,,,,,,,
1957 100s Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5773/6/5,,,,,,,,,
Midas,14530,,,,,,,,,
Hyd No,789210,,,,,,,,,
