NORTHLEACH-HAMPNETT-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SP098155,Long,-1.8591694,Lat,51.838023,Elevation,633,ft,,,,,,,,,,,,
Station no,RR7020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.38,1.83,2.86,2.88,2.58,4.6,2.28,0.68,0.78,2.68,2.4,1.2,2.12,1.93,,,,,
February,,3.4,2.42,3.74,1.44,3.22,0.65,0.67,1.49,1.78,0.68,0.01,1.84,2.82,1.83,,,,,
March,,1.97,1.54,1.13,2.32,1.15,2.43,1.52,3.46,3.03,1.12,1.68,0.76,0.21,1.77,,,,,
April,,1.13,4.04,0.88,1.34,1.88,2.6,1.44,1.62,3.19,1.04,1.04,0.87,0.11,1.71,,,,,
May,,0.96,2.15,1.36,0.95,2.77,3.96,1.5,1.86,3.23,2.24,3.87,0.81,1.3,2.19,,,,,
June,,2.27,3.88,5.89,3.13,1.88,1.78,1.53,1.91,1.12,2.03,2.36,2.32,1.38,2.24,,,,,
July,,2.43,4.22,3.85,3.97,0.28,3.83,0.61,4.5,2.4,4.41,2.7,2.57,3.48,,,,,,
August,,5.1,3.06,0.95,2.41,2.58,1.63,1.38,2.19,3.13,2.48,6.35,3.48,2.41,,,,,,
September,3.72,1.76,3.42,5.75,1.25,3.78,2.21,2.49,1.07,1.91,1.25,1.96,3.29,0.81,,,,,,
October,5.73,2.02,6.29,2.59,0.79,3.28,4.44,2.68,0.62,2.53,1.69,6.98,2.62,2.54,,,,,,
November,2.71,3.95,4.41,4.09,1.55,5.19,3.01,2.39,5.79,1.54,2.31,2.9,2.43,2.21,,,,,,
December,3.56,3.18,3.37,0.64,2.72,0.9,4.48,1.9,2.9,1.48,0.71,3.74,0.86,2.54,,,,,,
Total,,29.55,40.63,33.73,24.75,29.49,35.62,20.39,28.09,26.12,22.64,35.99,23.05,21.93,,,,,,
