BALLASALLA (FILDRAW ROAD),,,,,,,,,,,,
Grid ref,SC282713,Long,-4.629480,Lat,54.108807,,,,,,,
Station no,4414/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.32,5.35,,
February,,,,,,,,,1.24,2.91,,
March,,,,,,,,,3.12,2.29,,
April,,,,,,,,,2.15,3.67,,
May,,,,,,,,,0.77,2.54,,
June,,,,,,,,,2.55,1.29,,
July,,,,,,,,,2.00,5.76,,
August,,,,,,,,,0.30,2.63,,
September,,,,,,,,,1.75,4.55,,
October,,,,,,,,,4.51,5.91,,
November,,,,,,,,,6.90,7.86,,
December,,,,,,,,,7.44,4.40,,
Total,,,,,,,,,36.05,49.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.05,49.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
