ST-SAVIOUR-PETIT-MENAGE-(BEAUVOIR),,,,,,,,,,,
Grid ref,WV667492,Long,-2.08446,Lat,49.19252,Elevation,200,ft,,,
Station no,4423,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.71,2.63,3.14,4.67,4.12,5.1,5.61,2.86,
February,,,2.34,4.5,1.02,3.4,2.93,1.99,4.05,1.27,
March,,,3.92,2.34,2.37,0.76,1.06,3.61,2.6,0.06,
April,,,3.67,3.04,3.71,3.41,2.92,1.65,2.36,1.64,
May,,,1.3,3.42,2.17,3.77,2.28,0.2,5.34,1.33,
June,,,2.05,1.1,0.92,0,4.16,3.61,2.45,3.17,
July,,,3.41,1.16,2.37,2.68,1.1,3.35,0.64,1.54,
August,,,2.69,1.47,2.7,3.3,1.43,4.36,3.28,1.36,
September,,,2.41,3.6,3.49,2.8,0.43,7,2,3.81,
October,,,1.47,4.92,4.44,2.52,3.01,2.02,6.07,,
November,,,2.62,4.54,1.34,4.78,6.11,4.28,3.91,,
December,,,4.91,4.27,3.34,5.81,1.08,2.49,3.95,,
Total,,,35.5,36.99,31.01,37.9,30.63,39.66,42.26,,
,,,,,,,,,,,
1922 May 17th Inspection Gauge in centre of lawn and exposure good except for shelter of two large trees,,,,,,,,,,,
1929 Oct 1st Station transferred to Petit Menage 1m SW,,,,,,,,,,,
