"BUDDONNESS LOW LIGHT",,,,,,,,,,,,
Grid ref,NO539309,Long,-2.749817,Lat,56.467966,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.62,1.38,1.23,4.22,1.61,0.28,1.97,0.77,1.50,1.38,,
February,2.76,1.24,1.20,2.84,3.73,0.84,0.69,1.14,0.54,0.93,,
March,1.86,1.30,1.06,1.95,1.55,2.29,0.90,1.60,3.29,4.00,,
April,1.27,1.83,1.76,0.84,1.21,1.65,0.83,1.86,0.58,3.68,,
May,1.44,1.64,2.34,1.17,2.07,1.57,5.12,4.69,1.90,2.95,,
June,1.76,2.47,1.43,1.93,0.54,1.00,1.03,3.66,0.73,0.94,,
July,3.94,0.67,2.69,4.25,0.89,1.93,1.20,2.14,1.75,2.95,,
August,3.82,3.55,2.07,4.45,3.83,3.42,4.93,2.96,1.75,2.43,,
September,1.54,1.08,1.19,2.12,1.62,1.09,1.05,1.19,4.56,1.42,,
October,3.16,1.99,1.18,4.61,0.62,1.71,3.21,4.83,1.56,3.51,,
November,4.19,1.95,2.20,0.94,0.73,4.62,2.35,1.64,1.39,0.57,,
December,3.17,2.89,2.07,2.29,1.39,1.11,0.94,3.07,2.03,3.85,,
Total,32.53,21.99,20.42,31.61,19.79,21.51,24.22,29.55,21.58,28.61,,
Calc annual,32.53,21.99,20.42,31.61,19.79,21.51,24.22,29.55,21.58,28.61,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
