"MANCHESTER, CHEETHAM HILL",,,,,,,,,,,,,,,,,,,,
Grid ref,SD838018,Long,-2.2457592,Lat,53.512628,Elevation,255,ft,,,,,,,,,,,,
Station no,RR6968,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.08,5.08,2.19,1.87,1.36,3.56,2.42,3.89,1.25,,,,,,
February,,,,,1.81,2.89,0.8,0.67,1.17,2.34,0.31,0.35,2.51,3.92,,,,,,
March,,,,,2.07,2.24,2.61,1.81,1.87,2.84,3.28,2.43,1,0.59,,,,,,
April,,,,,0.78,1.17,1.66,1.01,1.62,2.11,0.88,1.52,1.55,0.7,,,,,,
May,,,,,1.66,1.97,5.35,2.06,0.81,2.4,2.32,2.97,3.48,2.02,,,,,,
June,,,,,0.95,3.7,1.65,1.17,3.17,0.57,3.35,2.6,3.95,1.57,,,,,,
July,,,,,3.72,1.49,4,1.44,6.24,2.7,2.68,3,3.08,4.07,,,,,,
August,,,,,2.02,1.45,2.35,1.44,4.02,5.74,4.13,6.18,5.01,2.44,,,,,,
September,,,,,3.08,5.37,3.83,4.33,1.67,2.89,1.73,3.06,4.56,4.37,,,,,,
October,,,,,2.38,5.78,5.04,2.12,1.81,2.65,2.63,5.85,5.06,3.17,,,,,,
November,,,,,1.86,3.07,2.36,1.3,4.64,1.77,5.45,2.86,2.64,2.54,,,,,,
December,,,,,4.44,2.61,4.69,2.67,2.24,2.79,0.32,5.09,2.62,,,,,,,
Total,,,,,,33.82,39.42,22.21,31.13,30.16,30.64,38.33,39.35,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dec 1893 Gauge moved 480yds NNW to Wilton Polygon,,,,,,,,,,,,,,,,,,,,
