"DUNTOCHER ( COCHNO FILTERS ) OLD SITE",,,,,,,,,,,,
Grid ref,NS495737,Long,-4.410690,Lat,55.932735,,,,,,,
Station no,5337,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.84,4.18,2.30,5.71,3.25,3.01,6.00,4.33,1.71,3.70,,
February,2.35,2.45,1.57,5.33,2.18,1.65,3.20,2.82,2.23,3.40,,
March,3.00,3.34,1.20,2.77,1.56,2.68,4.68,1.00,2.01,2.22,,
April,2.17,1.92,1.87,2.16,1.99,1.25,1.88,1.66,3.90,3.76,,
May,2.07,2.31,2.37,4.32,4.50,2.42,2.78,3.18,1.04,2.80,,
June,2.38,3.07,1.75,3.19,2.89,2.43,2.10,3.61,2.98,2.89,,
July,3.72,3.15,4.62,3.81,0.89,5.45,4.05,5.47,6.70,3.91,,
August,5.63,3.53,4.22,5.63,0.83,4.77,5.26,5.20,0.86,3.40,,
September,3.70,2.86,3.93,6.64,5.21,5.63,3.25,4.28,1.55,3.34,,
October,1.34,5.07,2.42,10.04,3.32,3.42,5.54,3.78,4.78,3.12,,
November,6.59,2.32,6.55,6.68,2.68,2.08,1.92,2.16,5.42,4.94,,
December,6.21,4.60,4.96,5.99,6.88,5.51,5.13,5.06,6.76,5.44,,
Total,44.00,38.80,37.76,62.27,36.18,40.30,45.79,42.55,39.94,42.92,,
Calc annual,44.00,38.80,37.76,62.27,36.18,40.30,45.79,42.55,39.94,42.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
