DUNTOCHER ( COCHNO FILTERS ) NEW SITE,,,,,,,,,,
Grid ref,NS495737,Long,-4.41069,Lat,55.932735,Elevation,385,ft,,
Station no,5337/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.19,6.41,4.79,1.82,4.02
February,,,,,,1.76,3.68,3.39,2.31,3.57
March,,,,,,2.85,4.96,1.09,2.15,2.34
April,,,,,,1.34,1.98,1.74,3.93,3.84
May,,,,,,2.63,2.92,3.41,1.09,2.95
June,,,,,,2.51,2.26,3.79,2.9,3.02
July,,,,,,5.56,4.23,5.69,6.8,4
August,,,,,,4.88,5.57,5.32,0.81,3.48
September,,,,,,5.72,3.48,4.26,1.55,3.31
October,,,,,,3.52,5.69,3.86,4.9,3.38
November,,,,,,2.11,2.05,2.21,5.62,5.26
December,,,,,,5.87,5.75,5.32,6.94,5.65
Total,,,,,,41.94,48.98,44.87,40.82,44.82
