RAVENGLASS IRTSIDE HOLM ROOK,,,,,,,,,,,,,,,,,,,,
Grid ref,SD077996,Long,-3.4227003,Lat,54.383495,Elevation,60,ft,,,,,,,,,,,,
Station no,RR8862,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.13,1.31,2.21,4.5,1.92,,,,,,,,
February,,,,,,,,1.42,0.76,2.39,0.6,0.2,,,,,,,,
March,,,,,,,,1.4,2.49,2.01,2.84,1.63,,,,,,,,
April,,,,,,,,2.49,1.7,1.43,1.27,0.62,,,,,,,,
May,,,,,,,,1.78,1.83,2.26,1.97,1.61,,,,,,,,
June,,,,,,,,0.18,0.99,0.51,5.11,0.93,,,,,,,,
July,,,,,,,,2.61,4.89,1.97,2.89,3.31,,,,,,,,
August,,,,,,,,1.54,2.75,4.4,5.08,7.93,,,,,,,,
September,,,,,,,,3.17,2.43,2.37,4.02,4.98,,,,,,,,
October,,,,,,,,2.87,4.67,3.48,1.99,7.53,,,,,,,,
November,,,,,,,,2.03,4.51,2.41,9.8,4.99,,,,,,,,
December,,,,,,,,3.62,4.11,4.12,1.72,5.83,,,,,,,,
Total,,,,,,,,26.24,32.44,29.56,41.79,41.48,,,,,,,,
