SUDBURY-WW-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL8725842251,Long,0.72931796,Lat,52.047013,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1336/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.31,1.28,2.35,3.7,4.1,2.42,5.46,1.48,,2.75,,,,,1.12,3.33,1.05,1.22,1.87,2.08,0.85,1.58,2.47,3.25,1.21,2.35,1.91,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.4,0.18,2.45,2.5,2.75,0.53,0.85,2.02,,0.84,,,,,2.17,1.16,1.38,2.86,3.81,0.62,1.02,1.75,1.92,0.75,2.11,3.26,0.14,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.77,2.2,0.54,0.47,3.38,0.38,1.73,2.73,,1.68,,,,,4.08,0.82,0.67,0.49,2.48,3.05,0.4,2.08,1.38,0.61,1.45,0.81,1.61,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.77,2.08,2.2,1.35,3.08,0.33,2.75,1.44,,0.87,,,,,1.55,1.59,1.68,1.35,2.48,1.25,2.26,0.38,0.27,0.73,0.24,1.12,2.07,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.32,0.73,1.86,0.97,2.56,1.5,0.91,1.37,,1.8,,,,,0.55,1.53,1.71,1.34,2.27,0.79,1.57,1.81,2.6,0.55,0.93,2.11,0.32,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.2,1.43,2.89,3.68,1.56,0.88,1.67,0.38,,0.33,,,,,2.99,1.92,0.71,1.2,1.31,0.94,3.75,3.22,2.83,1.89,1.58,4.69,1.97,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,0.95,1.01,0.33,3,1.86,1.24,2.27,3.8,,2.05,,,,,2.25,1.13,1.24,2.4,2.4,0.68,2.5,2.89,0.13,3.28,2.56,2.51,1.95,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,0.96,1.56,0.98,0.59,1.37,1.61,2.68,0.17,,2.02,,,,,0.14,3.84,1.28,1.51,2.57,2.79,1.6,3.53,2.68,4.24,2.03,4.45,0.61,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.47,1.12,3.11,2.44,1.1,1.69,0.47,0.66,,2.1,,,,,1.01,1.41,0.57,2.97,3.3,2.61,1.51,1.16,1.87,1.72,2.62,2.64,0.05,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.02,1.23,1.87,1.73,1.32,2.37,5.57,2.12,,4.16,,,,,0.55,1.45,5.08,0.4,0.6,2.23,2.18,1.64,4.06,2.16,1.97,2.11,1.82,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
