PENSHURST PLACE,,,,,,,,,,,,
Grid ref,TQ538440,Long,0.198768,Lat,51.174560,,,,,,,
Station no,344,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,2.51,0.99,1.26,3.87,5.08,2.23,3.19,2.66,3.44,,
February,7.13,0.89,1.23,2.04,2.05,0.78,4.59,2.17,0.04,2.56,,
March,3.83,3.19,0.29,2.98,1.31,0.89,0.97,1.61,1.96,1.90,,
April,2.51,1.71,2.57,0.39,0.23,1.34,0.12,1.36,2.69,0.73,,
May,1.85,1.26,1.20,2.91,4.68,0.35,1.55,1.90,1.05,1.84,,
June,1.96,1.22,1.58,2.85,2.78,2.50,1.45,5.01,0.97,1.94,,
July,2.46,0.76,2.77,2.72,1.89,2.66,3.85,1.11,1.33,3.49,,
August,5.13,3.85,1.85,2.86,0.65,2.53,2.29,4.01,0.84,4.35,,
September,3.84,3.00,3.87,2.38,2.76,2.79,2.95,4.34,0.12,2.43,,
October,1.26,2.78,3.68,2.38,5.10,1.10,1.21,2.98,3.35,7.34,,
November,5.86,4.30,1.57,5.71,0.98,0.84,3.59,1.69,3.63,5.72,,
December,2.95,3.04,0.84,2.06,2.83,3.85,2.34,4.34,6.03,3.82,,
Total,41.88,28.51,22.44,30.54,29.13,24.71,27.14,33.71,24.67,39.56,,
Calc annual,41.88,28.51,22.44,30.54,29.13,24.71,27.14,33.71,24.67,39.56,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
