"TUNBRIDGE PENSHURST PLACE",,,,,,,,,,,,
Grid ref,TQ527439,Long,0.183002,Lat,51.173956,,,,,,,
Station no,344,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.30,1.06,0.34,2.14,4.74,1.37,4.61,1.73,-999.00,1.73,,
February,5.80,1.76,1.71,1.63,3.72,0.83,2.61,1.86,1.47,0.65,,
March,1.14,2.54,1.77,3.14,1.80,3.87,1.72,1.16,3.32,4.46,,
April,0.82,2.26,0.78,2.18,1.22,2.22,1.44,3.21,2.69,2.01,,
May,1.14,0.54,2.88,1.83,2.41,1.45,1.80,2.27,2.19,1.95,,
June,2.57,0.88,3.49,5.04,1.49,3.99,1.81,2.05,2.03,3.38,,
July,1.51,1.43,1.82,4.82,1.02,0.32,0.88,2.07,3.75,3.30,,
August,2.60,1.62,3.27,3.60,0.83,2.71,0.56,2.66,5.93,2.74,,
September,1.09,1.16,1.21,2.71,2.28,2.26,1.52,0.82,2.70,3.61,,
October,2.28,2.72,2.13,6.28,1.46,1.56,5.23,4.50,2.69,6.94,,
November,3.19,0.87,1.78,2.64,1.64,4.74,6.23,2.72,1.42,1.29,,
December,3.39,4.23,1.81,2.39,3.19,0.52,2.42,3.61,3.56,5.19,,
Total,28.83,21.07,22.99,38.40,25.80,25.84,30.83,28.66,,37.25,,
Calc annual,28.83,21.07,22.99,38.40,25.80,25.84,30.83,28.66,31.75,37.25,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,NaN,0.00,,
