ALSTONFIELD-THE-MANOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK131554,Long,-1.8058249,Lat,53.095647,Elevation,920,ft.,,,,,,,,,,,,,
Station no,2370,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.57,5.7,3.57,3.44,3.51,,4.35,8.71,2.83,5.29,4.61,3.97,2.47,3.88,1.71,4.3,5.69,,,
February,,0.55,4.62,7.55,1.22,5.82,,2.52,4.61,0.94,0.92,4.78,0.49,4.63,0.35,4.67,3.02,5.68,,,
March,,2.18,3.1,2.45,1.68,1.39,,4.41,3.22,0.55,2.88,0.34,2.76,2.53,3.47,1.38,2.6,3.13,,,
April,,2.2,3.69,3.63,3.29,2.9,,5.04,1.53,1.33,3.67,5.07,4.51,1.38,2.44,3.57,2.02,2.8,,,
May,,1.78,1.03,3.66,5.25,6.07,,1.64,1.18,2.56,1.81,3.44,5.66,2.03,1.55,0.62,0.68,3.28,,,
June,,0.4,1.77,1.16,2.59,0,,6.95,4.2,1.74,2.34,5.46,0.61,3.1,1.17,4.8,4.28,1.75,,,
July,,0.7,5.21,4.95,5.05,2.68,,2.98,1.84,3.34,6.11,4.92,3.59,4.03,1.5,1.09,7.95,3.45,,,
August,,5.8,5.31,4.46,5.45,4.93,,5.46,5.18,4.47,4.72,6.55,1.95,0.66,3.43,2.71,2.22,2.05,,,
September,,1.41,4.28,4.62,3.83,4.71,,5.31,0.84,1.74,5.43,4.37,3.04,0.91,2.73,4.07,6.27,1.62,,,
October,,3.02,1.36,3.24,5.6,4.71,,3.67,5.84,4.9,5.59,1.03,6.05,6.6,3.35,6.84,4.38,2.71,,,
November,,2.72,2,3.22,2.27,2.93,,4.25,6.21,9.26,4.62,6.61,3.39,2.47,2.22,7.1,5.06,1.94,,,
December,,3.45,5.05,5.42,3.59,3.66,,2.54,3.06,7.78,4.24,1.64,1.98,0.6,8.09,5.78,3.46,4.75,,,
Total,,28.78,43.12,47.93,43.26,43.31,,49.12,46.42,41.44,47.62,48.82,38,31.41,34.18,44.34,46.24,38.85,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Alstonefield Hall now called Manor. Altitudes match,,,,,,,,,,,,,,,,,,,,,
