TIVERTON-SPRINGFIELD-(OLD-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SS944127,Long,-3.50317,Lat,50.90411,Elevation,350,ft,,,,,,,,,,,,
Station no,RR6404,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.41,4.48,5.39,5.73,5,4.72,2.87,3.67,6.24,,,,,,,
February,,,,,1.52,5.09,5.34,4.9,2.44,4.41,2.33,2.98,5.35,,,,,,,
March,,,,,4.36,2.9,3.92,5.07,3.29,2.64,1.9,1.21,3.3,,,,,,,
April,,,,,1.65,0.98,2.26,4.48,2.85,2.01,0.45,4.8,3.03,,,,,,,
May,,,,,1.35,3.62,1.91,3.65,1.19,5.53,1.28,0.31,2.97,,,,,,,
June,,,,,1.79,1.45,1.89,1.6,0.67,0.57,0.33,2.79,4.29,,,,,,,
July,,,,,1.01,2.44,1.76,4.84,1.01,0.82,0.86,5.79,3.8,,,,,,,
August,,,,,1.42,5.95,3.84,1.36,4.16,0.93,2.85,1.4,1.6,,,,,,,
September,,,,3.93,3.63,0.11,8.6,1.78,4.23,6.08,1.38,6.05,3.76,,,,,,,
October,,,,6.25,2.45,6.92,3.01,4.37,4.16,3.57,7.09,3.8,5.88,,,,,,,
November,,,,4.17,3.72,4.92,3.43,1.29,2.58,4.87,3.2,1.73,6.38,,,,,,,
December,,,,2.57,3.7,2.99,5.23,2.71,7.77,4.53,2.1,2.44,8.22,,,,,,,
Total,,,,,29.01,41.85,46.58,41.78,39.35,40.68,26.64,36.97,54.82,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6in gauge,,,,,,,,,,,,,,,,,,,,
Exact location unknown but says it is on slope of hill,,,,,,,,,,,,,,,,,,,,
But given elevation varies between 300ft and 400ft,,,,,,,,,,,,,,,,,,,,
