"BARRY W W BIGHS",,,,,,,,,,,,
Grid ref,ST147697,Long,-3.228105,Lat,51.419871,,,,,,,
Station no,RR2847,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.02,1.78,2.19,4.54,4.07,1.00,5.09,2.02,2.05,1.79,,
February,5.41,0.86,0.90,1.93,4.66,0.93,2.90,1.46,1.62,0.70,,
March,0.89,1.57,2.12,4.23,2.51,4.65,2.30,1.19,2.44,3.53,,
April,1.44,3.56,1.83,2.55,1.24,2.19,1.41,3.59,2.31,1.98,,
May,1.29,0.59,2.78,2.53,2.65,0.13,3.66,2.16,1.02,1.58,,
June,1.74,2.72,2.70,2.79,0.67,3.47,2.13,3.07,0.28,2.88,,
July,1.01,2.28,2.00,4.73,4.61,1.70,0.84,2.58,2.78,3.10,,
August,3.18,2.86,3.28,5.18,3.16,3.32,2.83,3.13,4.29,3.20,,
September,0.82,3.01,2.91,2.80,2.87,1.41,1.14,0.82,4.39,3.78,,
October,5.53,2.96,3.00,8.96,2.08,1.91,5.59,5.61,2.96,5.88,,
November,5.03,0.89,3.89,2.49,3.11,3.68,3.55,2.24,1.34,1.89,,
December,5.29,5.63,3.23,3.36,2.66,1.96,2.20,5.86,2.44,5.16,,
Total,36.65,28.71,30.83,46.09,34.29,26.35,33.64,33.73,27.92,35.47,,
Calc annual,36.65,28.71,30.83,46.09,34.29,26.35,33.64,33.73,27.92,35.47,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
