"LEWES WATERWORKS",,,,,,,,,,,,
Grid ref,TQ407092,Long,-0.001992,Lat,50.865193,,,,,,,
Station no,505,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.34,1.41,,
February,,,,,,,,,1.62,0.48,,
March,,,,,,,,,2.56,4.08,,
April,,,,,,,,,2.10,1.47,,
May,,,,,,,,,1.68,1.27,,
June,,,,,,,,,1.39,2.76,,
July,,,,,,,,,3.75,2.52,,
August,,,,,,,,,4.01,3.46,,
September,,,,,,,,,1.44,3.16,,
October,,,,,,,,,1.20,9.02,,
November,,,,,,,,,1.52,1.47,,
December,,,,,,,,,3.74,5.90,,
Total,,,,,,,,,27.35,37.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.35,37.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
