LITTLE HOUGHTON (BEDFORD ROAD),,,,,,,,,,,,
Grid ref,SP812591,Long,-0.812685,Lat,52.224130,,,,,,,
Station no,1104/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.96,1.48,3.50,1.10,2.59,3.48,3.11,,
February,,,,2.50,1.34,0.39,2.25,3.06,0.04,1.87,,
March,,,,2.71,1.88,0.79,1.56,1.67,2.71,1.39,,
April,,,,0.28,0.55,0.73,0.28,0.72,1.92,0.55,,
May,,,,2.41,4.22,0.32,1.27,1.82,0.25,1.00,,
June,,,2.06,2.46,2.08,2.65,2.15,4.84,0.74,3.49,,
July,,,2.46,3.07,0.18,5.87,3.01,2.44,2.10,4.01,,
August,,,2.37,3.44,0.54,4.59,1.51,2.75,0.73,2.97,,
September,,,1.37,2.29,1.35,1.60,4.53,2.61,0.03,3.96,,
October,,,2.04,1.81,1.45,1.43,1.76,2.04,1.64,5.18,,
November,,,1.78,5.13,1.42,0.60,1.49,1.86,1.75,3.46,,
December,,,0.76,2.28,1.81,2.95,1.92,2.66,4.02,2.34,,
Total,,,,29.34,18.30,25.42,22.83,29.06,19.41,33.33,,
Calc annual,0.00,0.00,12.84,29.34,18.30,25.42,22.83,29.06,19.41,33.33,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
