GUILDFORD-COMMERCIAL-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU995496,Long,-0.57612919,Lat,51.236916,Elevation,120,ft.,,,,,,,,,,,,
Station no,RR8763,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,4.91,3.15,4.51,4.03,1.26,2.55,,,,,,,,
February,,,,,,,3.95,1.45,1.39,3.14,2.76,1.27,,,,,,,,
March,,,,,,,2.07,2.59,1.47,1.66,2.15,1.18,,,,,,,,
April,,,,,,,1.93,1.95,2.45,1.96,0.43,3.29,,,,,,,,
May,,,,,,,1.25,1.13,1.19,4.17,1.06,0.4,,,,,,,,
June,,,,,,,2.44,1.68,0.63,1.2,0.74,2.96,,,,,,,,
July,,,,,,,2.78,4.15,2.63,0.93,0.91,4.03,,,,,,,,
August,,,,,,,2.1,2.61,5.11,1.49,1.72,1.23,,,,,,,,
September,,,,,,,4.36,1.7,2.55,5.44,1.93,6.44,,,,,,,,
October,,,,,,,0.99,3.2,2.41,1.89,3.39,1.59,,,,,,,,
November,,,,,,,1.77,0.66,2.75,2.13,1.53,0.36,,,,,,,,
December,,,,,,,2.13,1.38,6.7,3.45,2.64,1.14,,,,,,,,
Total,,,,,,,30.68,25.65,33.79,31.49,20.52,26.44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is mid-point of Commercial Road, which is 200 m long. Altitudes match.",,,,,,,,,,,,,,,,,,,,
900m from GUILDFORD-GUILDOWN and covers more years.,,,,,,,,,,,,,,,,,,,,
