MANCHESTER OLDHAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ854994,Long,-2.221519,Lat,53.491103,Elevation,191,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4,1.36,2.71,3.18,1.56,1.75,2.13,4.09,4.31,2.38,2.33,2.69,2.29,2,4.57,1.51,2.86,1.82,4.16,1.14,3.47,3.6,2.45,5.18,2.72,2.64,2.84,4.25,4.16,5.43,3.12,2.97,2.81,2.32,3.58,4.21,8.88,1.96,4.43,5.43,3.9,2.17,2.22,1.83,3.55,2.79,4.11,,
February,,,2.75,3.89,4.87,0.43,2.35,2.56,2.63,1.09,3.26,1.53,1.21,2.53,3.26,2.37,3.29,1.78,2.95,1.39,3.03,3.37,1.09,1.4,2.3,2.82,4.46,1.06,4.56,0.75,3.5,0.38,4.05,4.56,1.04,5.54,3.38,1.34,4.72,1.04,0.3,4.29,0.11,3.2,0.35,3.42,1.93,5.24,1.19,,
March,,,1.12,0.63,2.92,3.27,4.75,3.15,1.38,1.86,0.71,2.39,1.64,3.48,1.61,3.61,3.01,3.34,2.54,3.02,0.64,1.84,4.63,3.61,4.55,1.61,1.98,2.24,1.66,6.04,3.04,2.79,2.07,1.69,1.32,1.52,1.64,4.23,2.02,1.19,2.74,0.3,2.2,2.92,2.38,1.64,1.57,1.31,1.01,,
April,,,1.38,0.68,1.8,1.64,1.73,2.62,1.88,2.88,2.36,2.35,2.22,1.51,2.14,2.88,2.01,1.06,2.37,3.01,2.31,2.55,0.72,3.9,1.25,1.16,2.59,2.1,1.09,1.99,4.27,1.43,2.51,3.24,1.53,2.17,1.42,2.4,0.81,1.07,1.73,3.36,3.1,1.18,1.72,2.52,0.93,2.64,0.35,,
May,,2.67,3.18,2.06,2.63,0.84,0.6,1.78,3.14,2.63,1.8,1,3.37,3.28,2.62,0.57,3.89,3.86,2.38,1.56,3.38,1.38,2.66,2.8,2.32,1.69,2.69,1.85,2.82,1.63,7,2.52,1.6,2.94,5.52,4.22,3.72,1.39,1.3,2.79,1.77,2.78,4.77,1.3,2.13,0.83,0.54,2.14,3.67,,
June,,2.79,3.75,1.68,2.96,2.86,3.29,3.4,2.69,2.06,3.58,1.96,0.96,1.32,0.79,2.19,1.42,6.06,1.71,2.05,3.55,2.38,4.5,1.94,1.9,2.24,3.07,1.89,1.99,1.56,2.61,0.35,2.32,0.69,2.73,0.06,2.46,4.52,5.81,1.04,2.2,5.49,0.46,3.03,1.81,3.36,3.1,1.51,3.69,,
July,,3.07,3.05,4,4.06,5.61,1.99,1.93,0.57,2.23,2.89,3.85,2.19,3.31,1.18,2.41,1.6,3.24,4.8,4.63,4.17,0.64,4.67,0.97,3.95,5.01,1.66,1.68,4.06,1.82,6.57,1.25,4.5,4.59,3.26,2.27,2.45,2.48,1.95,3.58,5.35,4.38,3.5,2.44,1.97,1.58,4.56,2.13,,,
August,,6.18,4.9,2.73,4.07,3.85,2.46,3.14,5.08,1.63,5.37,1.72,2.61,4.04,4.22,4.42,3.06,3.77,2.65,3.13,5.62,2.44,5.99,2.38,3.13,4.4,1.78,7.12,3.11,3.57,2.35,4.79,4.39,3.89,4.88,3.27,4.11,5.96,5.33,4.1,4.82,7.87,1.44,1.36,2.97,1.68,2.5,2.69,,,
September,,3.38,4.11,3.96,0.89,1.66,5.56,4.22,0.55,4.94,1.49,0.86,1.15,4.57,1.59,2.64,1.56,0.79,3.29,2.73,0.17,3.68,1.84,1.5,2.87,0.6,2.47,1.91,10.17,1.82,2.58,0.76,3.99,3.53,2.75,4.46,3.36,5.76,0.79,2.15,2.86,3.28,3.95,1.29,3,5.63,4.35,1.11,,,
October,,4.6,5.02,2.95,3.83,3.62,4.46,1.96,3.74,3.11,4.42,3.09,4.11,7.21,1.54,2.99,5.51,3.33,1.45,5.38,3.12,2.67,3.96,1.52,1.99,1.33,4.65,6.03,3.19,2.13,1.35,2.05,0.4,4.06,4.64,4.7,3.34,2.77,4.36,5.3,4.67,1.98,7.42,4.56,4.52,6.41,3.37,1.67,,,
November,,2.98,2.73,2.58,2.09,2.8,1.16,4.64,2.27,1.41,2.35,4.12,1.92,3.8,2.66,3.18,2.84,2.36,2.73,1.32,4.45,3.44,2.84,3.86,3.65,1.81,2.28,4.43,1.79,2.76,1.25,2.13,2.67,5.11,1.54,2.88,5.38,3.51,5.05,6.88,4.96,6,2.78,1.33,1.48,4.58,4.52,2.14,,,
December,,6.17,2.56,3.81,3.46,4.12,3.87,4.51,3.76,2.91,4.28,4.29,2.8,0.96,2.55,0.47,4.19,2.79,2.73,6.98,2.83,5.59,4.22,2.34,4.93,5.96,2.95,1.69,7,5.79,2.91,4.71,5.59,4.06,4.22,2.52,1.63,0.95,2.38,6.4,3.06,1.94,1.49,0.43,4.76,3.35,3.21,2.1,,,
