FLAXTON GRANGE,,,,,,,,,,,,,,
Grid ref,SE684631,Long,-0.957,Lat,54.059,Elevation,120,ft,,,,,,
Station no,RR4606,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.44,0.80,1.63,2.95,1.49,0.55,3.17,1.86,0.83,2.63,0.81,3.20,2.17,1.16
February,2.25,2.10,1.37,1.32,2.13,2.06,2.15,0.53,1.26,0.63,2.15,1.94,0.90,2.47
March,2.10,1.77,1.36,1.07,1.12,0.90,2.00,2.70,0.93,0.55,3.09,2.56,0.97,0.83
April,0.80,3.01,1.90,2.58,0.75,1.99,2.60,0.34,1.08,0.65,1.65,3.40,1.23,1.35
May,0.68,1.33,0.89,3.90,1.28,1.95,1.30,2.19,1.53,1.14,0.77,1.65,3.56,2.28
June,1.85,2.20,1.50,1.58,2.85,4.19,4.48,0.72,0.54,1.27,2.37,1.51,3.57,3.34
July,2.50,2.85,0.62,0.70,0.52,2.98,4.96,2.45,1.41,4.44,1.23,2.98,1.36,3.23
August,3.13,4.80,2.00,0.82,1.63,1.92,2.59,3.04,2.14,2.62,2.76,3.70,5.86,2.57
September,4.16,2.26,2.00,2.72,1.22,4.28,3.75,2.60,2.26,2.34,3.89,2.98,1.75,2.14
October,2.47,1.68,2.94,2.20,5.60,2.60,4.32,1.95,1.84,2.48,2.26,1.25,1.91,0.61
November,1.80,0.70,1.31,1.70,2.66,2.25,4.59,1.57,2.81,4.27,1.91,3.72,2.38,1.48
December,1.11,2.01,6.09,3.47,2.85,0.95,3.29,0.39,3.05,1.85,6.58,2.14,1.65,0.73
Total,25.29,25.51,23.61,25.01,24.10,26.62,39.20,20.34,19.68,24.87,29.47,31.03,27.31,22.19
,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/174,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/001,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The December 1874 reading is part estimated and has been retained.,,,,,,,,,,,,,,
