MANSE OF KEMNAY,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 73186 15978,Long,-2.445817,Lat,57.23373,Elevation,300,ft,,,,,,,,,,,,
Station no,RR4352,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.18,2.77,2.08,7.43,3.45,3.5,1.63,1.45,3.1,1.82,0.9,1.72,1.02,,,
February,,,,,3.72,6.63,3.27,1.05,1.85,1.4,4.9,3.15,5.05,1.75,1.5,1.9,6.25,,,
March,,,,,3.13,2.62,5.38,6.6,1.43,2.83,1,0.58,2.75,2.37,2.12,1.92,4.92,,,
April,,,,,1.3,0.45,1.75,4.38,3.68,2.4,0.8,4.22,3.13,1.02,1,1.35,3.02,,,
May,,,,,2.1,1.85,1.55,2.07,1.3,1.52,1.75,0.78,3.92,4.07,1.37,2.12,0.85,,,
June,,,,,1.35,0.63,1.92,1.3,0.62,2.03,0.85,1.65,4.75,1.05,1.17,4.1,1.85,,,
July,,,,,2.3,2.95,2.5,4,1,0.55,1.55,3.8,1.8,3.92,2.4,3.65,2.6,,,
August,,,,,1.5,3.07,3.53,2.93,6.65,1.4,1.25,2.4,3.2,3.92,8,2.92,1.55,,,
September,,,,,3.25,0.45,2.47,2.35,4.68,5.27,2.32,2.7,6.25,4.9,1.53,3.87,3.37,,,
October,,,,,4.8,4.58,2.5,2.37,1.6,6.75,3.25,3.4,4.45,2,3.1,6.75,2.9,,,
November,,,,,5.5,2.75,2.53,1.77,1.95,1.9,2.9,2.22,5.83,3.5,3.62,5.25,4.75,,,
December,,,,,3.35,2.5,3.25,6.2,4.32,5.5,6.05,1,4.2,1.87,4.54,2.25,9.77,,,
Total,,,,,33.48,31.25,32.73,42.45,32.53,35.05,28.25,27.35,48.43,32.19,31.25,37.8,42.85,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4352,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
