THORPE CULVERT PUMPING STATION,,,,,,,,,,,,,,
Grid ref,TF470606,Long,0.195,Lat,53.122,Elevation,10,ft,,,,,,
Station no,2560/3 and 2560/5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
January,1.40,1.49,,,,,3.36,1.50,1.77,2.63,4.20,2.35,2.80,1.65
February,1.76,0.59,,,,,0.54,2.26,2.03,1.64,0.39,1.91,1.68,1.99
March,2.14,1.50,,,,,1.95,1.30,2.83,1.08,0.35,0.42,0.58,0.90
April,1.16,1.63,,,,,2.63,0.96,0.73,0.61,0.95,1.86,1.78,0.68
May,1.60,0.82,,,,,0.78,1.68,1.56,2.58,2.23,1.38,1.07,1.20
June,2.12,0.46,,,,,2.44,0.73,0.29,1.32,1.69,2.09,1.69,2.54
July,0.93,1.12,,,,,2.32,3.79,3.71,2.85,0.75,2.60,1.37,3.28
August,0.59,1.96,,,,,1.80,1.19,3.80,1.30,1.79,2.29,3.89,2.93
September,1.16,1.59,,,,,1.32,0.89,0.66,1.70,1.69,4.57,1.37,3.94
October,2.45,1.34,,,,,3.93,2.09,2.77,2.04,0.72,2.65,2.03,2.45
November,2.45,1.70,,,,,4.51,3.87,2.55,2.56,2.32,3.95,0.66,4.36
December,0.57,3.60,,,,,2.44,1.71,1.01,1.72,0.70,1.11,1.95,1.93
Total,18.33,17.80,,,,,28.02,21.97,23.71,22.03,17.78,27.18,20.87,27.85
,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/146,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/148,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/234,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The January 1940 reading is estimated for snow and has been retained.,,,,,,,,,,,,,,
# The September 1942 reading is part estimated and has been retained.,,,,,,,,,,,,,,
# The July 1945 reading is part estimated and has been retained.,,,,,,,,,,,,,,
