HUTTON COUNCIL SCHOOL,,,,,,,,,,,,
Grid ref,ST625591,Long,-2.539616,Lat,51.329752,,,,,,,
Station no,1973,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.83,1.25,,
February,,,,,,,,,1.92,0.73,,
March,,,,,,,,,3.82,3.05,,
April,,,,,,,,,2.02,1.88,,
May,,,,,,,,,1.55,1.84,,
June,,,,,,,,,0.72,3.98,,
July,,,,,,,,,3.09,3.01,,
August,,,,,,,,,5.23,2.57,,
September,,,,,,,,,2.82,3.23,,
October,,,,,,,,,2.46,5.91,,
November,,,,,,,,,1.19,1.20,,
December,,,,,,,,,2.17,4.66,,
Total,,,,,,,,,28.82,33.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.82,33.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
