GREAT-HARROWDEN-THE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP882709,Long,-0.707153,Lat,52.329113,Elevation,290,ft,,,,,,,,,,,,
Station no,1121/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.27,2.57,1.89,2.89,3.73,0.67,0.7,2.77,1.89,0.79,0.89,2.18,4.12,1.35,2.75,4.04,3.39
February,,,,1.31,1.57,2.1,1.33,0.79,0.92,3.5,2.97,0.69,1.42,1.85,1.8,0.65,2.05,3.41,0.08,1.58
March,,,,0.15,0.61,1.42,4.65,0.72,1.5,0.83,3.52,2.83,0.96,2.5,2.24,0.86,1.94,1.78,2.69,1.89
April,,,,1.74,0.93,1.31,1.94,1.53,1.78,2.04,3.06,1.84,1.82,0.19,0.72,1.12,0.3,0.81,2.1,0.31
May,,,,0.74,1.64,2.86,1.17,2.91,2.36,3.19,3.83,3.66,1.43,3.95,3.71,0.57,1.67,1.97,0.36,1.08
June,,,,2.34,1.81,2.99,1.15,3.23,0.26,1.63,1.2,1.21,2.14,3.07,2.27,3.16,1.87,5.48,0.49,2.3
July,,,,1.23,1.7,1.35,2.29,1.13,1.49,3.06,0.57,0.4,2.06,2.26,0.16,3.88,2.87,2.16,2.16,3.63
August,,,,2.33,2.85,3.66,0,2.54,0.76,1.58,3.39,2.69,1.82,4.31,0.71,4.84,2.54,1.73,0.74,2.43
September,,,,2.14,2.48,3.45,1.38,1.62,1.33,3.54,1.38,2.67,0.94,1.83,1.39,1.87,5.07,2.21,0.02,4.13
October,,,,2.77,3.33,1.39,0.15,3.13,4.47,0.58,0.72,2.57,1.39,2.28,1.95,1.49,1.54,1.94,1.83,4.74
November,,,,3.02,0.39,5.02,1.34,1.46,2.2,3.69,4.74,,1.26,5.13,1.39,0.69,1.55,1.7,1.89,3.34
December,,,0.94,0.88,2.51,2.31,2.32,2.24,1.43,1.82,1.95,,0.76,2.48,2.05,2.87,2.26,2.51,4.11,3.31
Total,,,,19.92,22.39,29.75,20.61,25.03,19.17,26.16,30.1,,16.79,30.74,20.57,26.12,25.01,28.45,20.51,32.13
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1949 Total corrected,,,,,,,,,,,,,,,,,,,,
1960 Total corrected,,,,,,,,,,,,,,,,,,,,
