"THETFORD, KILVERSTONE HALL",,,,,,,,,,,,
Grid ref,TL892841,Long,0.781004,Lat,52.422150,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.60,1.09,0.91,0.68,,
February,,,,,,,2.31,1.33,1.81,0.38,,
March,,,,,,,2.19,1.27,1.86,1.84,,
April,,,,,,,0.91,3.12,3.04,1.09,,
May,,,,,,,1.06,2.31,1.08,1.13,,
June,,,,,,,3.28,2.22,0.90,2.52,,
July,,,,,,,0.78,2.06,3.21,2.94,,
August,,,,,,,1.13,1.48,2.43,1.81,,
September,,,,,,,0.90,0.42,1.98,2.22,,
October,,,,,,,3.88,2.52,1.63,2.89,,
November,,,,,,,3.07,2.94,1.19,0.70,,
December,,,,,,,1.24,2.82,1.62,3.60,,
Total,,,,,,,24.35,23.58,21.66,21.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.35,23.58,21.66,21.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
