"THETFORD (KILVERSTONE HALL)",,,,,,,,,,,,
Grid ref,TL891841,Long,0.779536,Lat,52.422185,,,,,,,
Station no,1455,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.14,2.29,1.13,2.10,2.30,4.77,2.83,2.48,3.15,4.68,,
February,3.13,1.32,1.43,2.53,2.50,1.24,3.40,3.94,0.30,1.65,,
March,3.94,3.15,0.56,2.73,1.91,1.11,2.97,1.04,2.04,1.37,,
April,3.77,1.19,2.44,0.56,0.77,1.62,0.44,1.24,2.06,0.98,,
May,1.95,1.46,2.09,2.44,3.67,1.16,1.79,2.82,0.21,0.62,,
June,0.93,2.46,3.81,2.49,3.82,2.82,3.48,4.02,1.40,2.42,,
July,2.39,0.96,3.33,3.52,0.18,2.65,3.70,4.16,3.80,3.62,,
August,3.37,2.86,2.35,6.19,1.31,5.36,2.53,2.19,1.69,2.23,,
September,3.21,2.36,1.78,1.99,2.45,2.04,4.62,2.60,0.03,4.33,,
October,0.78,2.41,2.79,2.53,4.38,1.95,1.48,2.11,1.98,5.18,,
November,3.42,5.45,1.72,4.36,1.47,1.08,1.69,1.36,1.97,3.94,,
December,1.74,2.20,0.95,2.75,2.61,2.50,2.64,3.16,3.26,3.23,,
Total,31.77,28.11,24.38,34.19,27.37,28.30,31.57,31.12,21.89,34.25,,
Calc annual,31.77,28.11,24.38,34.19,27.37,28.30,31.57,31.12,21.89,34.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
