"THETFORD (KILVERSTONE HALL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1455,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.67,1.59,2.83,1.50,2.03,0.88,1.96,1.77,3.52,2.06,1.63,
February,0.66,0.39,1.97,2.57,0.91,1.94,2.03,2.10,1.07,0.37,0.80,
March,1.20,0.88,1.71,1.17,0.53,1.57,0.29,1.72,1.49,0.11,1.03,
April,3.28,1.64,2.07,1.12,2.23,2.75,2.98,2.36,1.33,0.99,1.85,
May,1.44,0.78,1.52,1.29,3.07,2.07,1.61,0.63,1.97,1.14,3.38,
June,2.03,0.23,1.30,0.48,2.05,0.48,3.36,4.35,2.98,0.94,0.60,
July,2.94,0.24,4.41,2.65,2.53,1.30,2.24,3.23,2.61,2.17,4.02,
August,1.68,1.59,2.33,2.83,2.57,2.44,1.71,2.94,2.14,1.27,2.20,
September,2.24,1.17,3.37,2.04,4.36,3.67,0.96,2.73,0.57,1.03,3.56,
October,0.35,1.53,0.65,3.66,4.10,2.20,2.39,2.18,2.68,2.95,0.79,
November,0.70,1.37,1.44,2.18,2.05,2.45,3.38,3.41,1.83,3.56,3.59,
December,2.39,1.23,1.83,3.09,1.58,1.89,0.87,1.88,2.61,3.91,1.98,
Total,20.58,12.64,25.43,24.58,28.01,23.64,23.78,29.30,24.80,20.50,25.43,
Calc annual,20.58,12.64,25.43,24.58,28.01,23.64,23.78,29.30,24.80,20.50,25.43,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
