CAIRNDOW NO II,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 181 108,Long,-4.937706,Lat,56.255109,Elevation,25,ft,,,,,,,,,,,,
Station no,RR2006,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,16.55,5.35,17.88,14.43,9.14,9.63,17.45,,,,,,,
February,,,,,,,10.95,9.66,13.26,10.34,12.52,10.7,12.95,,,,,,,
March,,,,,,,7.6,3.49,14.7,2.58,2.25,8.35,8.27,,,,,,,
April,,,,,,,5.35,12.41,6.3,3.23,4.79,3.99,3.05,,,,,,,
May,,,,,,,2.67,3.8,7.14,0.67,9.34,4.7,4.97,,,,,,,
June,,,,,,,3.32,4.47,5.48,3.49,3.37,2.38,9.51,,,,,,,
July,,,,,,,4.23,4.82,1.47,5.78,3.98,8.13,5.37,,,,,,,
August,,,,,,,8.65,6.17,10.14,2.44,1.89,5.74,7.86,,,,,,,
September,,,,,,,10.72,8.21,3.88,11.78,7.33,2.58,,,,,,,,
October,,,,,,,7.25,10.15,12.36,5.62,12.57,8.38,,,,,,,,
November,,,,,,,7.59,3.52,5.61,11.92,3.72,5.42,,,,,,,,
December,,,,,,,14.73,7.27,14.64,14.35,4.96,10.87,11.46,,,,,,,
Total,,,,,,,99.61,79.32,112.86,86.63,75.86,80.87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
