BOTHWELL CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS691594,Long,-4.090286,Lat,55.810075,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,1.08,1.28,1.56,1.77,2.46,1.46,1.72,0.08,0.89,2.5,3.4,4.47,4.21,1.7,1.99,,,,,,,,,,,,,4.8,,,,,,,,,,1.91,2.53,2.78,1.61,1.36,4.7,2,6.05,5.58,3.92,3.27,0.37,2.13,1.9,2.54,3.82,3.67,1.53,4.15,5.13,1.95,1.6,4.84,1.71,5.5,2.85,2.91,2,4.09,4.34,2.7,4.29,1.71,6.92,3.42,1.3,1.24,0.5,2.97,4.01,4.6,1.9,1.96,1.55,1.89,1.41,4.83,1.62,1.5,0.8,3.09,0.97,1.09,0.74,1.59,5.21,5.03,1.96,2.55,,1.38,,,,,
February,1.83,1.46,2.87,1.45,3.3,2.46,4.3,1.15,2.28,1.45,3.63,2.54,2.57,0.91,0.65,,,,,,,,,,,,,2.2,,,,,,,,,,3.43,1.39,1.92,1.22,5.92,1.75,4.7,1.41,3.56,0.79,1.64,0.63,3.02,0.92,1.05,3.84,2.14,2.52,1.1,2.02,2.17,1.09,3.8,2.8,3.81,3.84,2.21,2.25,2.85,0.67,0.9,1.17,4.11,3.42,0.93,1.17,1.05,2.65,2.32,1.08,3.54,2.44,1.27,1.98,0.49,1.3,0.62,0.32,1.69,2.43,6.14,0.25,1.37,2.69,2.21,1.87,3.06,1.35,0.87,,1.49,,,,,
March,0.79,1.26,0.34,2.47,1.43,2.32,1.3,0.88,2.88,1.85,3.67,2.78,1.69,1.32,3.4,,,,,,,,,,,,,2.59,,,,,,,,,,3.71,1.47,3.16,0.54,2.4,1.1,0.43,3.9,0.45,0.23,1.75,1.24,0.16,2.05,1.19,4.31,2.44,4.17,3.47,0.8,3.42,1.28,1.18,0.87,3.09,0.52,0.71,1.99,1.68,2.05,1.82,1.39,3.58,1.6,0.94,2.96,2.15,2.04,3.1,0.68,1.95,1.01,1.81,1.44,1.91,0.88,1.46,2.48,0.5,1.34,2.3,1.66,3.09,3.46,1.12,3.3,0.53,2.06,1.8,,1.13,,,,,
April,1.58,1.92,0.78,0.77,2.57,0.97,0.9,2.79,0.74,0.75,0.26,1.59,2.79,0.93,2.23,,,,,,,,,,,,,0.31,,,,,,,,,,1.29,1.23,2.15,2.75,1.08,1.83,1.74,1.51,0.74,1.26,0.59,0.86,1.4,2.05,1.44,3.27,0.9,0.55,2.62,2.62,1.51,0.56,1.54,2.83,2.72,0.96,0.83,2.6,0.68,0.36,1.37,1.05,1.77,2.3,2.37,1.63,3.1,0.81,1.93,2,0.96,0.97,0.97,1.48,0.89,1.3,0.94,0.33,0.74,1.2,1.6,1.25,1.5,1.6,0.65,2.5,1.63,1.76,0.65,,2.56,,,,,
May,3.82,1.89,2.94,0.71,3.64,1.48,2.76,0.04,2.76,1.82,3.81,1.48,2.04,5.32,2.03,,,,,,,,,,,,,1,,,,,,,,,,0.14,1.32,1.74,3.59,0.78,3.11,2.62,0.6,2.3,0.59,3.84,0.64,3.24,1.36,1.93,0.51,1.72,0.6,4.23,2.07,1.3,3.33,1.34,1.87,2,0.77,1.62,0.69,2.42,2.36,2.44,0.91,0.69,1.41,3.57,1.93,0.91,2.18,2.2,1.2,2.45,2.92,2.67,0.89,2.03,2.97,2.64,1.23,2.93,2.96,2.25,0.34,0.92,1.45,1.8,3.2,2.25,1.6,1.49,,2,,,,,
June,0.79,1.58,1.84,1.96,2.13,2.63,0.84,0.1,1.59,1.45,2.92,2.47,1.53,1.7,0.02,,,,,,,,,,,,,2.37,,,,,,,,,,4.77,3.1,4.45,2.75,3.82,1.02,3,1.43,2.12,3.36,3.23,1.97,3.23,3.43,2.71,1.68,3,2.49,3.05,2.66,1.5,0.4,1.86,1.57,0.62,2.39,1.52,0.92,6.86,1.27,2.37,1.95,2.5,2.17,1.48,4.95,1.04,1.75,3.47,2.17,0.79,0.54,1.01,0.55,1.71,0.54,2.15,0.98,3.19,1.73,2.71,1.36,3.94,5.03,3.35,1.96,4.13,2.21,1.7,,1.24,,,,,
July,2.27,1.88,1.55,3.64,2.59,1.76,3.47,1.85,2.04,5.92,2.1,4.49,1.15,2,2.25,,,,,,,,,,,,,1.33,,,,,,,,,,2.68,2.08,4.05,1.9,2.38,1.6,2.4,2.15,4.25,3.54,3.23,3.5,1.78,1.41,3.88,1.76,2.24,3.81,2.71,0.66,2.7,2.3,3.59,4.84,0.02,1.2,2.05,3.64,6.67,4.85,3.14,1.67,2.36,3.33,0.5,3.02,3.67,3.27,3.1,2.66,5.71,0.87,2.85,2.13,5.43,2.3,2.79,0.66,1.8,3.05,2.45,4.7,3.4,1.39,0.96,3.16,4.9,1.73,2.82,,1.8,,,,,
August,2.94,5.83,4.47,2.41,3.51,2.51,0.57,2.89,2.6,1.28,3.71,0.97,1.5,2.82,1.89,,,,,,,,,,,,,2.31,,,,,,,,,,4.25,2.5,4.38,1.07,2.4,2.75,2.8,3.51,4,2.65,1.98,2.69,3.69,1.2,2.05,1.65,2.12,2.11,3.09,2.42,1.03,4.3,3.14,2.56,3.15,0.91,0.97,5.83,3.84,3.94,4.82,2.42,4.26,6.25,2.62,4.69,0.41,2.42,1.55,3.68,2.13,2.63,1.4,2.93,1.13,3.62,3.22,2.46,6.41,2.53,4.24,5.72,1.7,2.67,4.95,0.57,4.75,3.09,1.47,,3.14,,,,,
September,3.82,0.66,2.78,0.62,1.37,1.71,1.4,0.81,2.33,3.28,1.43,2.21,1.47,2.9,2.57,,,,,,,,,,,,,3.69,,,,,,,,,,1.93,3.61,2.81,2.07,0.96,1.48,5.45,0.65,1.4,2.2,1.56,0.49,2.61,2.02,2.61,3.42,0.56,1.25,2.37,2.87,3.59,0.7,4.13,2.66,1.57,4.02,2.21,1.51,6.54,3.75,4,3.37,2.48,1.11,3.83,2.42,3.08,1.56,2.73,3.14,2.35,3.81,3.43,3,0.3,0.15,3.04,3.83,2.52,1.83,0.14,0.54,3.63,2.06,3.65,3.65,4.8,2.14,2.91,,1.79,,,,,
October,3.35,3.34,0.95,1.81,2.83,3.55,2.53,3.25,3.28,1.77,1.24,2.47,4.91,2.27,3.2,,,,,,,,,,,,,1.7,,,,,,,,,,1.3,5.03,3.95,3.9,3.5,1.72,0.62,2.71,2,3.8,3.42,4.52,1.1,1.79,4.52,3.52,3.8,0.86,6.33,3.25,2.87,3.65,1.57,3.3,3.34,1.12,2.57,2.04,2.55,4.78,4.57,4.15,5.08,3.15,3.34,1.78,1.01,1.11,3.57,3.24,2.15,2.7,1.25,1.55,0.13,1.77,1.94,2.89,3.38,2.7,2.68,1.6,3.67,1.42,3.5,2.4,6.2,3.86,1.38,,1.4,,,,,
