"BURTON FLEMMING (COUNTY PRIMARY SCH)",,,,,,,,,,,,
Grid ref,TA084723,Long,-0.342384,Lat,54.135120,,,,,,,
Station no,3406,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,6.86,,
February,,,,,,,,,,2.25,,
March,,,,,,,,,,1.57,,
April,,,,,,,,,,0.85,,
May,,,,,,,,,,1.27,,
June,,,,,,,,,,0.46,,
July,,,,,,,,,,3.54,,
August,,,,,,,,,,3.29,,
September,,,,,,,,,,3.70,,
October,,,,,,,,,,8.25,,
November,,,,,,,,,,4.91,,
December,,,,,,,,,,4.37,,
Total,,,,,,,,,,41.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
