ASHMORE (OLD RECTORY),,,,,,,,,,,,
Grid ref,ST912177,Long,-2.126668,Lat,50.958658,,,,,,,
Station no,1627/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.08,2.42,0.82,1.83,3.65,,,,,,,
February,6.47,0.92,1.78,3.71,2.20,,,,,,,
March,4.22,3.73,0.63,4.03,1.81,,,,,,,
April,2.81,1.51,3.46,0.22,0.84,,,,,,,
May,3.62,3.42,1.75,2.34,3.65,,,,,,,
June,0.48,1.89,2.83,3.28,2.46,,,,,,,
July,1.69,0.88,4.54,3.49,2.05,,,,,,,
August,5.01,4.66,3.03,3.33,0.26,,,,,,,
September,3.95,3.85,3.75,3.02,0.98,,,,,,,
October,0.91,5.02,3.71,3.33,3.25,,,,,,,
November,11.37,4.64,2.17,6.68,3.95,,,,,,,
December,3.02,3.11,1.41,3.87,6.00,,,,,,,
Total,46.63,36.05,29.88,39.13,31.10,,,,,,,
Calc annual,46.63,36.05,29.88,39.13,31.10,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
