DALRY (RYE WATER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS253587,Long,-4.787922,Lat,55.789937,Elevation,1032,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.85,3.35,1.55,10.5,8.8,6.89,4.45,10.1,9.1,,7.6,5.85,7.65,8.85,4.45,7.25,4.5,4.35,8,8.55,2.6,5.2
February,,,,,,,,,8.85,3.02,6.35,2.9,6.95,3.35,9.55,5.25,1.2,,7.25,5.4,4.65,4,4.1,7.25,4.65,2.3,5.65,6.35,2.9,7.25
March,,,,,,,,,5.4,7.25,3.35,3.93,2.2,1.85,4.5,3.8,5.5,,4.95,4.65,5.15,6.15,1.8,5.4,2.5,3.8,8.2,2.15,5.1,3.3
April,,,,,,,,,,4.35,3.65,3.95,5.4,4.65,3.7,3,8.65,,9.65,4.25,3.65,3.15,4.15,3.25,6.87,1.55,3.25,2.6,4.5,7.4
May,,,,,,,,,,1.3,4,4.85,4.1,5.35,5.45,1.45,5.6,,3.1,1.65,2.85,2.1,4.35,4.2,6,4,2.9,5.3,2.6,3.55
June,,,,,,,,,3.6,1.55,2.7,3.15,6.2,5.05,5.55,4.95,6,,2.15,3.25,2.55,5.3,2,5.55,5,5.65,2.9,3.35,3.85,4.4
July,,,,,,,,,9,4.5,4.95,7.05,3.45,6.65,5.1,5.5,5.3,,2.85,8.95,6.85,6.75,7.25,6.2,1.1,7.75,8.2,6.3,7.3,6.75
August,,,,,,,,,2.7,3.7,7.4,10.8,9.9,4,3.25,4.3,0.08,,7.55,9.45,6.65,7.1,6.1,7.1,1.54,6.7,6.03,6.2,1.95,4.9
September,,,,,,,,,4.95,6.3,3.55,9,,6.7,8.3,11.7,6.8,,3.85,14.15,6.85,4.65,7.95,9.65,5.85,7.1,5.01,5.8,2,4.65
October,,,,,,,,,4.8,8,7.15,9.6,11.85,9.45,10.35,0.55,3.65,,11,6.45,2.45,9.35,4.4,12.3,5.05,3.15,8.7,5.95,8.16,4.1
November,,,,,,,,,10.85,11.25,6.4,1.35,4.55,8.8,1.1,11.5,8.5,,9,5.1,9.55,3.8,12.15,11,4.45,3.75,3.7,3.6,7.2,9.85
December,,,,,,,,,5.5,9.65,3.75,11.35,4.21,8.75,7.3,7.5,4.15,,11.5,3.4,10.85,7.25,7.25,8.25,10.15,9.15,7.05,8.85,12.65,8.9
Total,,,,,,,,,,64.22,54.8,78.43,,71.49,68.6,69.6,64.53,,80.45,72.55,69.7,68.45,65.95,87.4,57.66,59.25,69.59,65,60.81,70.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 A M +T Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 S+T Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 G moved 300 yds SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
