DAWLISH-THE-LAWN-(YORK-GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX962766,Long,-3.4661,Lat,50.5802,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.06,4.43,4.25,7.42,2.17,2.15,,3.44,6.12,0.51,0.76,3.42,3.11,0.59,9.61,,,,,,
February,,,,,,,,,,3.81,,0.17,2.62,0.29,2.21,2.99,2.2,1.37,1.35,6.66,5.64,0.48,1.54,,,,,,,
March,,,,,,,,,,2.63,,2.75,1.21,0.18,0.65,1.17,9.07,1.35,1.11,1.41,4.23,2.78,0.55,,,,,,,
April,,,,,,,,,,3.19,1.53,2.01,1.05,2.01,0.74,2.29,2.79,2.2,1.6,1.51,1.66,2.62,2.76,,,,,,,
May,,,,,,,,,,1.68,2.04,6.38,3.19,0.24,3.83,5.11,2.74,2.41,2.4,3.41,2.25,2.41,3.09,,,,,,,
June,,,,,,,,,,0.64,2.14,0.64,1.12,1.88,2.67,2.57,2.53,1.75,0.54,0.47,0.82,1.34,1.61,,,,,,,
July,,,,,,,,,5.25,2.48,0.6,1.38,2.21,2.34,,1.96,1.54,0.8,1.37,4.3,2.1,0.83,1.97,,,,,,,
August,,,,,,,,,2.54,0.08,3.83,3.8,2.35,3.98,,3.18,0.93,2.77,0.83,3.56,3.61,3.8,,,,,,,,
September,,,,,,,,,1.27,1.16,0.98,2.38,3.33,1.57,,4.25,2.08,1.22,3.17,3.96,4.5,2.85,2.07,,,,,,,
October,,,,,,,,,4.54,3.85,1.39,3.99,2.72,4.4,,2.25,0.97,2.73,5.77,1.32,0.68,4.08,,,,,,,,
November,,,,,,,,,5.53,5.76,2.27,0.77,2.06,5.38,,6.08,1.98,1.47,4.2,5.63,5.1,4.59,,,,,,,,
December,,,,,,,,,1.76,3.22,2.62,4.02,3.19,2.36,,4.05,1.86,5.95,1.47,3.41,2.95,2.86,,,,,,,,
Total,,,,,,,,,,30.56,,32.54,32.47,26.8,,,32.13,30.14,24.32,36.4,36.96,31.75,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-1940 Values copied from file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb Mar values adjusted by ref to nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Gauge inspected - suggested it be moved inland 50-100yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 June Site over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
