GUISBOROUGH GRAMMAR SCHOOL,,,,,,,,,,,,,,,
Grid ref,NZ617162,Long,-1.048,Lat,54.537,Elevation,330,ft,,,,,,,
Station no,3478/3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.12,4.90,0.58,1.21,,,,,2.61,3.70,1.27,2.06,2.81,6.86
February,,2.83,1.15,0.33,3.41,,,,,2.70,2.40,2.15,3.32,0.42,4.09
March,,4.60,1.22,1.34,0.92,,,,,2.24,0.75,0.79,2.75,0.68,
April,,3.06,0.98,2.36,2.27,1.65,,,,1.57,1.10,0.62,2.19,2.06,
May,,2.33,1.24,1.08,1.84,5.83,,,,2.70,0.34,1.03,3.22,0.90,1.08
June,,1.94,4.93,0.54,1.92,2.10,,,,2.53,4.60,3.07,3.42,1.85,
July,,2.47,1.42,1.10,3.27,1.94,,,,1.40,3.63,3.35,2.65,0.26,
August,,0.40,2.50,1.80,2.98,,,,9.32,0.93,9.02,3.44,2.19,,
September,,1.57,1.45,1.26,2.47,,,,1.15,1.29,2.00,3.50,1.50,,
October,0.98,0.37,1.22,2.10,1.14,,,,4.29,2.23,1.80,2.16,1.35,1.21,
November,4.96,1.52,1.26,3.87,6.45,,,,5.04,2.04,2.02,2.12,1.25,1.04,
December,3.15,1.88,1.94,3.17,3.81,,,,2.39,3.61,2.26,2.34,3.87,4.08,
Total,,25.09,24.21,19.53,31.69,,,,,25.85,33.62,25.84,29.77,,
,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/053,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/240,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/061,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# One isolated and suspect reading for October 1908 has been omitted.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# The gauge moved 800 feet east in July 1947.,,,,,,,,,,,,,,,
# The gauge was at a 'temporary location' (NZ616161) for 1959.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# The station continued until 1965 according to MIDAS. (MIDAS src_id = 2078),,,,,,,,,,,,,,,
