HIGH-LITTLETON-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST644579,Long,-2.51137,Lat,51.31915,Elevation,446,ft,,,,,,,,,,,,,
Station no,1972,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.86,3.72,4.9,3.99,6.36,1.39,4.93,2.66,3.62,3.13,,,,,,,
February,,,,,0.37,4.85,1.9,4.09,2.91,0.95,0.64,2.23,0.08,3.64,,,,,,,
March,,,,,1.45,0.44,1.27,3.66,3.32,0.16,1.82,0.78,2.04,3.99,,,,,,,
April,,,,,3.54,2.41,3.82,1.64,1.05,0.99,2.02,2.53,3.19,1,,,,,,,
May,,,,,4.63,4.62,2.55,1.04,1.05,2.32,2.14,3.46,6.94,1.91,,,,,,,
June,,,,,3.07,0,2.8,3.44,2.25,,0.67,2.82,1.78,,,,,,,,
July,,,,,3.65,4.46,5.11,5.69,3.6,,3,4.48,4.47,,,,,,,,
August,,,,,3.81,4.19,2.1,4.22,4.41,3.16,-999,4.85,0.99,1.59,,,,,,,
September,,,,,3.37,3.49,1.73,6.84,1.39,0.62,-999,1.34,5.54,2.43,,,,,,,
October,,,,,5.8,3.8,4.95,2.6,5.87,5.83,3.45,1.33,6.34,2.42,,,,,,,
November,,,,,2.96,2.44,7.57,3.24,3.69,8.84,4.81,4.04,2.24,0.63,,,,,,,
December,,,,,4.74,4.2,0.61,2.73,3.95,7.08,3.52,1.38,2.19,1.04,,,,,,,
Total,,,,,41.25,38.62,39.31,43.18,39.85,,36.25,31.9,39.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved from Chesham Bois,,,,,,,,,,,,,,,,,,,,,
1929 June July Estimated,,,,,,,,,,,,,,,,,,,,,
1930 Aug-Sept Apportioned Combined total 9.25,,,,,,,,,,,,,,,,,,,,,
1933 June July Allocated for accumulations,,,,,,,,,,,,,,,,,,,,,
1934 Observer moved to Ottery St Mary Devon Stn No 1814/7,,,,,,,,,,,,,,,,,,,,,
