"SHIPSTON TIDMINGTON HOUSE",,,,,,,,,,,,
Grid ref,SP261386,Long,-1.620853,Lat,52.045185,,,,,,,
Station no,RR1162,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.15,,1.03,2.83,2.25,1.10,4.11,,1.25,1.29,,
February,4.76,,1.02,1.86,5.20,0.99,1.63,-999.00,1.12,0.38,,
March,0.99,,,,-999.00,3.55,1.57,1.05,3.37,3.54,,
April,,,-999.00,4.55,-999.00,2.40,0.66,,2.79,2.85,,
May,,1.35,3.10,5.36,3.92,0.40,2.12,-999.00,1.45,1.47,,
June,,2.29,2.33,4.15,0.84,2.93,4.35,,1.00,5.48,,
July,,1.68,1.54,4.14,1.92,1.35,2.21,2.51,2.08,3.48,,
August,5.68,2.81,3.09,3.04,2.25,5.01,1.02,2.05,2.73,2.03,,
September,0.57,1.45,1.56,2.68,1.53,1.37,1.48,0.71,1.63,3.54,,
October,3.12,1.81,2.54,5.82,1.27,,5.28,6.38,1.67,3.55,,
November,2.09,0.97,1.73,2.39,1.51,4.19,3.38,1.72,1.10,0.79,,
December,4.53,3.81,1.37,1.56,1.75,1.25,1.95,3.66,1.91,3.16,,
Total,29.42,23.91,23.61,38.38,25.39,24.54,29.76,28.48,22.10,31.56,,
Calc annual,24.89,16.17,19.31,38.38,22.44,24.54,29.76,18.08,22.10,31.56,,
Difference,4.53,7.74,4.30,0.00,2.95,0.00,0.00,10.40,-0.00,-0.00,,
