HAYES-COMMON-THE-WARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ398654,Long,0.006994858,Lat,51.370458,Elevation,296,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.08,3.51,2.1,0.86,1.17,2.76,2.35,0.56,1.89,2.72,1.81,0.72,1.99,0.63,3.24,3.26,,,,,,,,,
February,,,,,,2.89,0.42,0.58,1.27,2.49,0.99,0.07,1.6,3.23,1.73,0.32,0.37,2.18,1.35,2.52,4.59,,,,,,,,,
March,,,,,,1.55,1.34,1.92,3.29,2.26,2.38,2.12,1.79,0.43,1.13,1.53,3.4,4.4,1.39,0.76,1.11,,,,,,,,,
April,,,,,,2.27,1.79,1.89,1.9,2.74,2.09,0.65,1.69,0.09,2.23,1.5,0.91,1.24,1.28,2.7,0.95,,,,,,,,,
May,,,,,,2.92,4.42,1.64,0.86,2.43,1.48,2.73,1.05,0.49,1.56,0.88,0.23,1.65,3.12,1.72,1.36,,,,,,,,,
June,,,,,,1.06,0.69,1.16,3.02,2.22,2.48,1.4,4.04,0.8,2.23,0.31,3.31,2.53,1.37,1.06,2.62,,,,,,,,,
July,,,,,,0.21,2.6,1.01,6.87,3.28,3.98,4.45,2.1,2.3,3.68,3.55,1.89,0.49,0.67,0.82,0.85,,,,,,,,,
August,,,,,,2.51,1.3,2.65,2.12,2.68,2.25,4.18,3.52,0.51,2.84,1.79,2.15,2.99,1.12,0.64,3.18,,,,,,,,,
September,,,,,,4.09,1.55,2.46,0.84,1.1,0.65,0.84,1.88,1.23,1.83,0.65,6.9,2.71,0.42,3.52,0.77,,,,,,,,,
October,,,,,,3.59,2.46,1.85,1.55,4.16,1.26,6.02,4.52,3.75,4.62,2.8,4.11,0.55,3.32,2.27,2.19,,,,,,,,,
November,,,,,,3.02,3.27,4.91,4.03,0.9,2.23,2.72,2.54,2.37,4.76,4.02,1.76,1.19,3.72,4.52,2.64,,,,,,,,,
December,,,,,,1.26,4.41,1.55,1.54,1.56,0.85,3.69,1.57,2.93,1.84,2.77,3.56,3.16,2.66,1.76,3.03,,,,,,,,,
Total,,,,,,27.45,27.76,23.72,28.15,26.99,23.4,31.22,26.86,20.02,31.17,21.93,29.31,25.08,21.05,25.53,26.55,,,,,,,,,
